N   M   resolution_km            l2_height_normalized     order
3   4   1.66798149553369672e+03  9.30261832254755092e-05  missing
3   8   8.33990747766848358e+02  4.03156156910369240e-06  4.53
3   16  4.16995373883424179e+02  2.35806131863537953e-07  4.10
3   32  2.08497686941712089e+02  1.46035701970063572e-08  4.01
3   64  1.04248843470856045e+02  9.12444041580821260e-10  4.00
