N   M   end_time resolution_km            l2_depth_error           linf_depth_error         l2_height_error          linf_height_error        l2_order linf_order
2   4   5.00000 1.25098612165027248e+03  1.44389961552411367e-03  3.35810740345669377e-03  1.11661577278668496e-03  3.29566261834417012e-03  missing  missing
3   4   5.00000 8.33990747766848358e+02  7.97663846747856723e-05  4.36453137968205711e-04  6.16899336910136769e-05  4.28382748968880072e-04  missing  missing
4   4   5.00000 6.25493060825136240e+02  5.14677169593177005e-06  2.65325610055901234e-05  3.98042834198426778e-06  2.60422424878218946e-05  missing  missing
5   4   5.00000 5.00394448660108992e+02  2.94127879419335131e-07  2.08888100420926345e-06  2.27473652422056372e-07  2.05031593644012370e-06  missing  missing
6   4   5.00000 4.16995373883424179e+02  1.31138537482711145e-08  1.30270294803210423e-07  1.01420382704603510e-08  1.27863662578888764e-07  missing  missing
7   4   5.00000 3.57424606185792129e+02  9.29520815975407059e-10  1.15912077464622381e-08  7.18876072686611566e-10  1.13767649717017470e-08  missing  missing
8   4   5.00000 3.12746530412568120e+02  6.53802876613341073e-11  9.94405727750257006e-10  5.05640369528346350e-11  9.76006270036102663e-10  missing  missing
9   4   5.00000 2.77996915922282767e+02  4.57687163429430859e-12  9.20113916111900116e-11  3.53967626993268792e-12  9.03083538766746110e-11  missing  missing
10  4   5.00000 2.50197224330054496e+02  3.33504271014224954e-13  7.64524384824771485e-12  2.57926329242050461e-13  7.50371125396773666e-12  missing  missing
