N   M   resolution_km            l2_height_error          linf_height_error        l2_height_norm           linf_height_norm         l2_order linf_order
3   8   4.16995373883424179e+02  1.61538365187373159e+02  1.53344082444473861e+03  1.10930218283400227e+04  1.12449782337697379e+04  missing  missing
3   16  2.08497686941712089e+02  1.22266143136909051e+02  8.28708822176158719e+02  1.10930116355002829e+04  1.12449782401331886e+04  0.40     0.89     
3   32  1.04248843470856045e+02  1.19525426446910032e+02  7.35057758575263506e+02  1.10930114819582304e+04  1.12449782427065475e+04  0.03     0.17     
