#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4177637946605003e-11 7.387780849071437e8 1.0400221015656073e8
200 3397.0399881556964 16.977799411870862 1.3084395137042795e-11 3.489979039169385e-15 3.7794624518630935e-15 1.509761204943061e-10 6.228351168147128e-14 6.639133687258436e-14 1.2961083441584688e-11 7.387780849071354e8 1.0400221015656143e8
400 6794.4047260984435 17.003966984526787 1.6530712875041626e-11 4.120357063531857e-15 4.3295089412126155e-15 2.1645973902195692e-10 7.455147610357926e-14 7.188694084447889e-14 1.428265473226338e-11 7.387780849071481e8 1.0400221015656102e8
600 10201.955383156794 17.079232344824064 1.962958690533727e-11 5.278677984028612e-15 5.237921417910993e-15 2.801243681460619e-10 9.958700530887654e-14 9.475753515175711e-14 1.4498172496879325e-11 7.387780849071395e8 1.0400221015656124e8
800 13614.536149226053 17.024301048503812 2.2263338649822456e-11 6.051339022033653e-15 5.971879005481071e-15 2.382876118645072e-10 9.71445146547012e-14 1.2723155862204294e-13 1.3946539157355952e-11 7.387780849071512e8 1.040022101565617e8
1000 17014.241250353207 16.981192713088372 2.496663494821592e-11 7.075397312338715e-15 6.473227932618932e-15 3.1468516681343317e-10 1.6456280782506383e-13 2.0367041386748497e-13 1.511994952302451e-11 7.387780849071386e8 1.0400221015656202e8
1200 20410.29086118984 16.987461161379457 2.7160955029405054e-11 7.74092203142882e-15 7.221229309130837e-15 4.0381564758718014e-10 1.8562928971732617e-13 2.0866641747829817e-13 1.3579697191161151e-11 7.387780849071327e8 1.0400221015656197e8
1400 23808.336240674893 16.980050142822297 2.8996477161573372e-11 8.61305269040437e-15 7.778437305007664e-15 4.674802767112851e-10 2.1346813205980197e-13 3.453973218547901e-13 1.553778285659264e-11 7.387780849071429e8 1.040022101565611e8
1600 27204.4988238836 16.989762942754787 3.114759685168879e-11 9.320615637803128e-15 8.408668440837111e-15 3.7834979593753815e-10 1.7497114868092467e-13 1.8485213360008856e-13 1.464015589704443e-11 7.387780849071441e8 1.0400221015656275e8
1800 30607.570021923835 17.048822134099506 3.299645791842921e-11 9.914067218234956e-15 8.8146925335701e-15 5.129550117999315e-10 2.778888230636767e-13 2.1904700275854339e-13 1.353503710323401e-11 7.387780849071392e8 1.040022101565618e8
2000 34021.983862019646 17.0495245499212 3.4910361112049356e-11 1.0701745468248692e-14 9.309734610569494e-15 4.69299266114831e-10 1.9251267247000214e-13 1.980360320175123e-13 1.3713919902616191e-11 7.387780849071403e8 1.0400221015656129e8
2200 37425.09524500579 16.990053449668817 3.66633961783096e-11 1.1295670477475678e-14 9.77629015038454e-15 5.456968210637569e-10 2.3857305020413833e-13 2.2115642650533118e-13 1.23645441862524e-11 7.387780849071372e8 1.040022101565616e8
2400 40821.26453415529 16.97992674600553 3.815553868668542e-11 1.2036707331159108e-14 1.0364627531532325e-14 5.566107574850321e-10 1.755817713444685e-13 2.627342787775433e-13 1.0645314678398563e-11 7.387780849071332e8 1.040022101565609e8
2600 44202.59312703284 16.987874071222016 3.996812672894396e-11 1.2550660970935996e-14 1.0902143249060831e-14 5.529727786779404e-10 2.635947016216278e-13 3.079481114554028e-13 1.4457637878225345e-11 7.387780849071424e8 1.0400221015656187e8
2800 47598.65368373242 16.980952666184777 4.219524864321923e-11 1.3268253018809373e-14 1.1612753748442702e-14 5.711626727133989e-10 3.63056806840234e-13 3.5485503424581566e-13 1.0285496485622093e-11 7.387780849071385e8 1.0400221015656114e8
3000 50998.28773605696 17.02340411846026 4.39856155183019e-11 1.3682841396132225e-14 1.221745796397505e-14 5.857145879417658e-10 2.4831525724522407e-13 2.5672519665675964e-13 1.0470914005120206e-11 7.387780849071418e8 1.0400221015656094e8
3200 54410.77524453589 17.08055954116632 4.5171202955173616e-11 1.4052983193493568e-14 1.2633809738052221e-14 6.584741640836e-10 2.4804810982992365e-13 2.9408420143539615e-13 1.2113116526009202e-11 7.38778084907131e8 1.040022101565615e8
3400 57818.451614485435 17.00464850167776 4.650073131155832e-11 1.4580176632415272e-14 1.294523105150706e-14 5.875335773453116e-10 3.1982749781889197e-13 3.4255931424809205e-13 9.557477064184557e-12 7.387780849071339e8 1.0400221015656047e8
3600 61215.86034028831 16.977822763905937 4.7567676085059376e-11 1.5013510782202446e-14 1.3364860314720058e-14 6.220943760126829e-10 3.2951419370874646e-13 3.894523592506971e-13 8.980449686526023e-12 7.38778084907142e8 1.0400221015656005e8
3800 64612.86264851912 17.000197862612406 4.997354780096419e-11 1.5468618466505356e-14 1.4156082344069899e-14 6.166374078020453e-10 4.592715097118116e-13 4.075073611886637e-13 1.0870161578223113e-11 7.387780849071381e8 1.0400221015656097e8
4000 68009.91750968396 16.977794963228067 5.200520765086324e-11 1.6167713630238295e-14 1.47865054770982e-14 6.202753866091371e-10 2.90878432451791e-13 2.9687363678476686e-13 8.721746083353258e-12 7.387780849071395e8 1.04002210156561e8
4200 71407.26493117977 17.00379911943585 5.349920756109148e-11 1.683835021818772e-14 1.535896700132039e-14 7.994458428584039e-10 4.2964243274212777e-13 3.7386760354252146e-13 9.120560989811974e-12 7.387780849071406e8 1.0400221015656012e8
4400 74814.76583385486 17.078904654132394 5.5758644793746136e-11 1.760223874982357e-14 1.6173427719349868e-14 7.003109203651547e-10 3.7164715749327115e-13 3.844702334276917e-13 9.881268295452135e-12 7.387780849071351e8 1.0400221015656056e8
4600 78227.38306574067 17.02452499607335 5.747643704366948e-11 1.8283364652613547e-14 1.6744021243937588e-14 8.021743269637227e-10 3.7875258485087215e-13 2.2536833510500287e-13 1.3211868682797836e-11 7.387780849071424e8 1.0400221015656167e8
4800 81627.11662037947 16.98125370439482 5.892266977449868e-11 1.8808200141287733e-14 1.7072242521987318e-14 7.22138793207705e-10 3.960720640350246e-13 5.383193890651228e-13 9.745528872631377e-12 7.387780849071364e8 1.0400221015656002e8
5000 85023.16206220609 16.98735992751508 5.9870172277846e-11 1.9116402298649274e-14 1.7349628820863705e-14 6.912159733474255e-10 4.757305660518796e-13 6.31272811801864e-13 1.3837297171327086e-11 7.387780849071381e8 1.0400221015656112e8
5200 88404.51897718235 16.98017452780581 6.069838156060728e-11 1.961647943714081e-14 1.757639463691665e-14 7.967173587530851e-10 3.3745228833481633e-13 4.824057819874383e-13 1.2332223652901821e-11 7.387780849071463e8 1.0400221015656114e8
5400 91800.66572512008 16.989481448802923 6.220895513694489e-11 2.0245330106043842e-14 1.8141060872828567e-14 7.948983693495393e-10 4.168887457467463e-13 3.2795988147427124e-13 1.2744054335048727e-11 7.387780849071364e8 1.0400221015656064e8
5600 95203.6399710816 17.048138060019728 6.40869840629212e-11 2.091723755426096e-14 1.9059009457337482e-14 8.540155249647796e-10 2.935429677108914e-13 3.6609604237014537e-13 1.5688533320185074e-11 7.387780849071369e8 1.0400221015656078e8
5800 98618.05215181485 17.050215208189083 6.550398956438418e-11 2.1144310302175242e-14 1.9967145814799228e-14 9.149516699835658e-10 4.904410211281629e-13 4.624425842258972e-13 1.5249489150513744e-11 7.387780849071386e8 1.0400221015656093e8
6000 102021.2614233207 16.99034170246372 6.689711245642796e-11 2.1511763124819794e-14 2.0669182247330453e-14 1.1568772606551647e-9 4.711231404996852e-13 5.293543381412746e-13 1.442255718056387e-11 7.387780849071468e8 1.0400221015656124e8
6200 105417.44748948708 16.97980903960767 6.937402479316117e-11 2.190830124599795e-14 2.20840269041099e-14 8.603819878771901e-10 4.440892098500626e-13 5.073441666780809e-13 1.506653002948675e-11 7.387780849071479e8 1.0400221015656093e8
6400 108815.47481344703 16.9879778592467 6.9343883694186e-11 2.237083744548843e-14 2.17329355405803e-14 8.458300726488233e-10 5.860312235483889e-13 7.283618153053339e-13 1.4689864161331758e-11 7.387780849071424e8 1.0400221015656161e8
6600 112211.53991112899 16.980894447033897 7.032424330408612e-11 2.3006904207490954e-14 2.1642256802705232e-14 1.1696101864799857e-9 7.402689572444388e-13 5.152545057285352e-13 1.2880831197597121e-11 7.387780849071326e8 1.0400221015655985e8
6800 115611.1459154097 17.023183064522268 7.059339149989643e-11 2.3581279826885634e-14 2.105025111186802e-14 9.258656064048409e-10 3.995276331991704e-13 4.485994908876023e-13 1.4977471386021165e-11 7.387780849071413e8 1.0400221015656108e8
7000 119023.59589592817 17.08088950679203 7.233649816460469e-11 2.4130507865042627e-14 2.1707157775836433e-14 1.0950316209346056e-9 5.883626919001017e-13 9.281950208439582e-13 1.3754692265070045e-11 7.387780849071485e8 1.0400221015656143e8
7200 122431.32234388459 17.004818906251078 7.39639711051097e-11 2.459509704368228e-14 2.2396759351352126e-14 8.62200977280736e-10 4.470313008653193e-13 7.978617766468687e-13 1.3695776590459473e-11 7.38778084907136e8 1.0400221015656267e8
7400 125828.74874828312 16.977829911437272 7.560238690105425e-11 2.499389196623837e-14 2.2778522581912877e-14 9.240466170012951e-10 4.951594689828198e-13 7.685518887967646e-13 1.301412411250201e-11 7.387780849071506e8 1.0400221015656112e8
7600 129225.73626053684 17.000044513721438 7.799726932111435e-11 2.5857730986947307e-14 2.3559934360594355e-14 1.076841726899147e-9 6.711853295371384e-13 6.858398939914301e-13 1.2650596305795818e-11 7.387780849071459e8 1.0400221015656012e8
7800 132606.1252073134 16.977786236561535 8.037895556427259e-11 2.6499552553549398e-14 2.420415113377636e-14 9.185896487906575e-10 7.554512571061878e-13 5.961342530724778e-13 1.2359328375498266e-11 7.387780849071437e8 1.040022101565627e8
8000 136003.43004611979 17.003384118993022 8.129032011252332e-11 2.7045982649117632e-14 2.458226611053152e-14 1.1168594937771559e-9 6.757094883624859e-13 5.662137425588298e-13 1.313404480428147e-11 7.387780849071416e8 1.0400221015656166e8
8200 139410.80771162032 17.07809220785449 8.087190570647764e-11 2.7284428895027247e-14 2.4847410858082253e-14 1.140506356023252e-9 5.295902605340075e-13 7.68746177826074e-13 1.0602130933776001e-11 7.387780849071434e8 1.0400221015655999e8
