N   M   resolution_km            l2_height_normalized     order
4   4   1.25098612165027248e+03  4.21113229879966291e-05  missing
4   8   6.25493060825136240e+02  1.17335196865516717e-06  5.17
4   16  3.12746530412568120e+02  3.99912764279293623e-08  4.87
4   32  1.56373265206284060e+02  1.23298706243257278e-09  5.02
4   64  7.81866326031420300e+01  3.77897794623740273e-11  5.03
