#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0625623918913105e-12 7.387780849071828e8 1.0400221015656595e8
200 3639.582230846755 18.190741692444075 1.2474846604352215e-10 2.5084167850988008e-14 3.6438006125099216e-14 1.6648300515953451e-9 6.584177647539491e-13 4.907185768843192e-13 3.5968604757686325e-12 7.387780849071791e8 1.0400221015656655e8
400 7280.344495754143 18.226842231258754 1.1189208870420446e-10 3.1959076880654937e-14 3.874297184871086e-14 1.5061232261359692e-9 1.1113471254375895e-12 1.276534433714005e-12 1.902777203887228e-12 7.38778084907185e8 1.0400221015656729e8
600 10934.357557592553 18.313305237843846 1.1972868068541103e-10 4.3597044527113614e-14 4.375830463617408e-14 1.4551915228366852e-9 1.2628231793598843e-12 1.7108536809473662e-12 3.6028060525246815e-12 7.387780849071825e8 1.0400221015656684e8
800 14586.829823753464 18.221755389891012 1.4486276779706644e-10 4.845281057502778e-14 4.7492026252592204e-14 1.944954419741407e-9 1.5593082380860324e-12 1.3813603039203315e-12 1.0380675489528015e-12 7.387780849071723e8 1.0400221015656586e8
1000 18227.02350349281 18.19048312963663 1.182788670384978e-10 5.549614815844989e-14 4.933684948662345e-14 1.4847501006443053e-9 2.609162885747196e-12 3.5239589024627094e-12 2.9870900686531163e-12 7.387780849071797e8 1.0400221015656668e8
1200 21866.97701811653 18.210574866549564 1.5357601650293486e-10 6.27667512223318e-14 5.417746595576913e-14 2.1091182134114206e-9 2.1539436900752662e-12 3.503641821112069e-12 2.11718111513184e-12 7.387780849071833e8 1.0400221015656681e8
1400 25506.17282033783 18.19149118506695 1.3455408045531505e-10 7.003453255910649e-14 5.552703698391104e-14 1.4424585970118642e-9 1.5142886944374823e-12 3.6385339186040255e-12 2.698264503272926e-12 7.387780849071757e8 1.0400221015656595e8
1600 29147.631796737493 18.23302544992422 1.4733548054425525e-10 7.916565311349162e-14 6.053333802372131e-14 1.9367689674254507e-9 1.387834291932677e-12 3.678612969792994e-12 3.304702144798291e-12 7.387780849071807e8 1.040022101565657e8
1800 32803.03243517926 18.30272739890135 1.4078131405576614e-10 8.406011107900983e-14 5.897889547662781e-14 1.718490238999948e-9 1.1576295477766507e-12 2.4580337765200966e-12 2.3164699095938646e-12 7.387780849071696e8 1.0400221015656614e8
2000 36453.91800156316 18.216484205826216 1.5523869663548602e-10 8.911947266495723e-14 5.744110246342989e-14 1.578428054926917e-9 1.8366974607886277e-12 2.0092746910727044e-12 2.796764905696799e-12 7.387780849071728e8 1.040022101565664e8
2200 40093.60391434872 18.190649703014625 1.558617674341337e-10 9.025653401258139e-14 6.157043838792284e-14 1.5261321095749736e-9 2.5344171206143074e-12 2.7321478413000477e-12 8.770502265647714e-13 7.387780849071771e8 1.040022101565669e8
2400 43728.083175312764 18.206505575006016 1.6187316860334843e-10 9.506785053644366e-14 5.777279049204802e-14 1.403122951160185e-9 2.8510804828130176e-12 2.8393676299032222e-12 -2.714365780828862e-13 7.387780849071872e8 1.0400221015656677e8
2600 47366.992830820454 18.19270055506888 1.6972685707904885e-10 1.003069850525312e-13 6.830622897980153e-14 1.5879777492955327e-9 2.830194412162257e-12 4.2246345310914535e-12 1.257871297859392e-12 7.387780849071785e8 1.0400221015656655e8
2800 51009.23064514116 18.2395670387242 1.5605763748681298e-10 1.0843592586425604e-13 7.022693467498253e-14 1.496118784416467e-9 3.3762437290363323e-12 2.8964053377933396e-12 -8.317059007491297e-14 7.387780849071791e8 1.0400221015656544e8
3000 54665.7022801177 18.292787395352363 1.600821859820951e-10 1.1211204831445327e-13 7.329983694874723e-14 1.3897079043090343e-9 2.0822787938357123e-12 3.4190983377868633e-12 1.1055733570243259e-12 7.387780849071804e8 1.040022101565658e8
3200 58315.12195196239 18.211778623694197 1.49631133752146e-10 1.1566600879497046e-13 7.840880603522926e-14 1.6043486539274454e-9 2.8811397712047437e-12 4.452438417956728e-12 3.6700402474097244e-12 7.38778084907171e8 1.0400221015656672e8
3400 61954.40376816045 18.191284351322864 1.5599289106525296e-10 1.1564969318992367e-13 7.909898410107107e-14 1.9190338207408786e-9 3.696765116245615e-12 5.431544103373653e-12 1.2743700639640014e-12 7.38778084907185e8 1.0400221015656726e8
3600 65594.9137149296 18.202830579914796 1.6364999608496303e-10 1.168463036048982e-13 8.324263113787285e-14 2.024080458795652e-9 2.5370122669343687e-12 3.5895453276424405e-12 1.4692501321962473e-12 7.387780849071848e8 1.0400221015656684e8
3800 69233.62740338314 18.19441407723643 1.5923049147039387e-10 1.237326917819533e-13 8.249998970744238e-14 1.8394530343357474e-9 2.0001222900134508e-12 3.1179503423572896e-12 2.2903078388082408e-12 7.38778084907177e8 1.040022101565667e8
4000 72876.75430026342 18.246702503400428 1.7795196868823677e-10 1.306829432363703e-13 8.333679383171529e-14 1.9267645257059485e-9 3.6733949215772554e-12 1.710279487476818e-12 2.757676537520788e-12 7.38778084907176e8 1.0400221015656583e8
4200 76534.01894181134 18.283128086363064 1.6936223123804738e-10 1.3876328191892992e-13 8.440794389240842e-14 1.8151240510633215e-9 2.029043599804936e-12 4.365952044338428e-12 8.64081684050749e-13 7.387780849071808e8 1.0400221015656538e8
4400 80182.04078281 18.207468937387624 2.047452980829633e-10 1.3917725184050695e-13 8.633296488593714e-14 2.8273916541365907e-9 3.1988856008524635e-12 5.3904658514625226e-12 2.9501943487776606e-12 7.387780849071817e8 1.0400221015656677e8
4600 83821.0074973861 18.19240899538444 1.86004217361587e-10 1.3878596926373566e-13 8.805753864061471e-14 1.7453203327022493e-9 3.340883125702021e-12 6.418254816509261e-12 1.6960793296685732e-12 7.387780849071736e8 1.0400221015656663e8
4800 87455.9033636215 18.199682594389962 2.0154724998245942e-10 1.3811823607914826e-13 9.083236530118509e-14 2.1000232663936913e-9 3.151146010793582e-12 5.642097899993814e-12 -2.8339605367845515e-13 7.387780849071759e8 1.0400221015656641e8
5000 91094.51846845195 18.196571121583368 2.041487253125994e-10 1.4017720886259843e-13 9.07061890353123e-14 1.8962964531965554e-9 2.4393542741307783e-12 4.3268721938716226e-12 7.975917631406866e-13 7.387780849071782e8 1.0400221015656696e8
5200 94738.61294395167 18.254176428944966 1.9011056756518436e-10 1.4601185549629436e-13 9.399064960413512e-14 1.940179572557099e-9 3.6234071298935078e-12 4.207465105487973e-12 1.5556234844572973e-12 7.387780849071839e8 1.0400221015656613e8
5400 98396.36409470512 18.274095765234627 1.9680852219936356e-10 1.5140982214761085e-13 9.575359000366826e-14 1.886292011477053e-9 4.089562022357995e-12 4.394012931285829e-12 1.86494591418574e-12 7.387780849071707e8 1.0400221015656711e8
5600 102043.106212931 18.203709046135568 1.9472960053680856e-10 1.5377401198268287e-13 9.763174163921414e-14 2.055458026006818e-9 3.850114671521965e-12 6.77258249481838e-12 3.8448392468104675e-12 7.387780849071808e8 1.0400221015656582e8
5800 105681.85796739435 18.193982461859573 2.0067102696268776e-10 1.5423984907873978e-13 1.0050667586110835e-13 2.4833752831909806e-9 3.87814780289375e-12 6.86878331990215e-12 2.6713216717078924e-12 7.387780849071792e8 1.040022101565672e8
6000 109322.62086583162 18.19694966614952 2.078332353973051e-10 1.5400432230690144e-13 1.0294156644028624e-13 2.2009771782904863e-9 5.000944103272786e-12 7.52020667960096e-12 2.4224428678957015e-12 7.387780849071858e8 1.0400221015656513e8
6200 112961.23140937225 18.199249823191177 2.1822650822642312e-10 1.5800144624925537e-13 1.0360891395635732e-13 2.063643478322774e-9 3.8169190030856726e-12 7.0750905134531195e-12 2.8024479030970184e-12 7.387780849071816e8 1.040022101565667e8
6400 116606.40677785795 18.2622571921004 2.2498830479661153e-10 1.6187914649297473e-13 1.085490783010304e-13 2.513388608349487e-9 4.725358992985207e-12 7.13322868654831e-12 1.3360118390621144e-12 7.38778084907171e8 1.0400221015656625e8
6600 120264.35534573876 18.265366387422453 2.1775501394739642e-10 1.6725236356583645e-13 1.1074708206011728e-13 2.1500454749912024e-9 2.7198243657267085e-12 4.608452508492178e-12 7.036959819746727e-13 7.387780849071813e8 1.0400221015656792e8
6800 123909.88986589367 18.20036342182158 2.2829783420110364e-10 1.694418340406715e-13 1.1325630576479791e-13 2.2578205971512944e-9 2.797428955148007e-12 6.806971653006144e-12 1.1132591726280295e-12 7.387780849071746e8 1.0400221015656593e8
7000 127548.51892919558 18.19606027050825 2.216710612574131e-10 1.728306089163576e-13 1.1044498227906271e-13 2.217348082922399e-9 2.6634250360757505e-12 5.418498982834308e-12 1.7416124685275044e-13 7.387780849071728e8 1.0400221015656598e8
7200 131183.52620746478 18.194730533873518 2.2202148183764227e-10 1.7646262076886425e-13 1.0734753170340432e-13 2.079104888252914e-9 3.1049607329691753e-12 4.639323647470661e-12 3.363759885369867e-12 7.387780849071769e8 1.0400221015656663e8
7400 134822.2265471059 18.202355075883105 2.303176234842758e-10 1.8081965437287014e-13 1.0797671747440117e-13 2.2719177650287747e-9 4.187789004461706e-12 4.929674723985755e-12 4.501469270223385e-12 7.387780849071714e8 1.040022101565666e8
7600 138468.55755232592 18.27065589707242 2.1814516741194939e-10 1.8553720068299836e-13 1.1190272085354326e-13 1.9190338207408786e-9 3.604172515991877e-12 5.418809498336508e-12 1.6186233853145072e-12 7.387780849071854e8 1.040022101565669e8
7800 142126.40748403067 18.257252189006532 2.3020877353478926e-10 1.8714875834418655e-13 1.156184180257648e-13 2.106389729306102e-9 3.2667202276570606e-12 4.657496610604994e-12 1.6774478616098521e-12 7.387780849071779e8 1.0400221015656655e8
8000 145770.84965564724 18.19755111709727 2.2231582367613507e-10 1.8670640366232357e-13 1.1974456980419867e-13 2.042725100181997e-9 3.4634239920450227e-12 8.597955680755831e-12 2.427369715722368e-12 7.387780849071769e8 1.0400221015656522e8
8200 149409.4525287979 18.198567186108885 2.402223105877883e-10 1.881376430042384e-13 1.190667733685531e-13 2.1364030544646084e-9 2.664812814856532e-12 7.043504668402534e-12 2.5889363668060514e-12 7.387780849071794e8 1.0400221015656577e8
8400 153050.1641134357 18.19294668160553 2.460347139700633e-10 1.8969763385111281e-13 1.216875216780457e-13 2.5011104298755527e-9 3.633648937295675e-12 5.627678878461495e-12 2.4209121421271337e-12 7.387780849071767e8 1.0400221015656751e8
