#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.7814091847862244e-13 9507.35078012779 7.387780849021574e8
50 414.4056096223717 8.285239873590825 2.9013126961176054e-8 1.5498512030767166e-7 4.136425616785623e-7 8.812876931649986e-8 1.0386395271016573e-6 9.117165916749964e-7 2.243827402935825e-8 2.542691373572199e-7 3.4442025808489874e-7 8.64972518047055e-8 1.0214873417505798e-6 1.0259082453887163e-6 -1.2273872047043327e-12 9507.350780127657 7.387780849021556e8
100 828.5228863441081 8.279610817645299 5.634154856359642e-8 3.1507135444119476e-7 8.282059904360433e-7 1.7327548274992938e-7 1.708647902044253e-6 1.5257970461797556e-6 4.3573624711065236e-8 5.129724404282431e-7 6.925951660928125e-7 1.7006761977308422e-7 1.4679037933532308e-6 1.4816071139247025e-6 4.533111608275388e-13 9507.35078012779 7.387780849021422e8
150 1242.3659429663162 8.274266014495078 8.190313489917468e-8 4.800606217659275e-7 1.2409141430966761e-6 2.5307354835630423e-7 3.0654195991639267e-6 2.568103704972057e-6 6.334253412874152e-8 7.773708505762978e-7 1.0444719735722931e-6 2.483885633539008e-7 2.776348010772167e-6 2.4745114532971956e-6 1.4121932954032367e-12 9507.350780127745 7.387780849021759e8
200 1655.9490915525087 8.26920938747078 1.0587653616912402e-7 6.465777762905044e-7 1.6426520243219127e-6 3.2554590470005576e-7 4.763421111056006e-6 4.082186784665456e-6 8.188316740230992e-8 1.0445148917571139e-6 1.3917226457038116e-6 3.1951971742031995e-7 4.327287792636198e-6 3.997395774467383e-6 -2.4026170197865613e-12 9507.350780127746 7.3877808490216e8
250 2069.2868367887418 8.264444633780887 1.2853589765525995e-7 8.140361381368535e-7 2.0245939510149622e-6 3.88801830602966e-7 6.554026256800776e-6 5.580104716173069e-6 9.940754397262158e-8 1.3149348007311206e-6 1.729646673398535e-6 3.816049668462698e-7 5.8343349705350536e-6 5.521213322497951e-6 -9.608789102832246e-13 9507.350780127867 7.387780849021759e8
300 2482.3938614736553 8.259975243722252 1.5021014610980582e-7 9.809319789223803e-7 2.3775531999025823e-6 4.7304946940816045e-7 9.009399402231347e-6 7.2815332363495615e-6 1.1617005036711694e-7 1.5873872540158365e-6 2.053723328807534e-6 4.642946041186798e-7 8.022347420907795e-6 7.298982976579455e-6 3.055602879685492e-13 9507.35078012775 7.387780849021633e8
350 2895.285018740929 8.255804477004554 1.711375392216764e-7 1.1462881087631246e-6 2.693404388365976e-6 5.567403707407306e-7 1.1639867894205596e-5 9.039223866825252e-6 1.3235495115303472e-7 1.8607691810538164e-6 2.3601381029454662e-6 5.46438811203837e-7 1.0395006207805816e-5 9.201418556158124e-6 -1.4940400404158704e-13 9507.35078012768 7.387780849021564e8
400 3307.975320077188 8.251935458487619 1.914469048032027e-7 1.3097751840484104e-6 2.9666134831286118e-6 6.52776368819879e-7 1.4574601926396121e-5 1.0912540718281197e-5 1.4806187963712003e-7 2.1341703254372804e-6 2.6466782481024913e-6 6.406999155335487e-7 1.3056078742002183e-5 1.1258616462479955e-5 5.962222935248531e-13 9507.350780127714 7.387780849021887e8
450 3720.4799248562895 8.24837099834211 2.1110802699932812e-7 1.4707419717593945e-6 3.1953723465394903e-6 7.497617848927175e-7 1.7442125662814884e-5 1.2918217312512224e-5 1.6326746737487328e-7 2.4060222700988145e-6 2.9133439530771035e-6 7.358862468243704e-7 1.5680324362759687e-5 1.3503139057782702e-5 -2.6392962036621545e-12 9507.350780127796 7.387780849021612e8
500 4132.814131191683 8.245113801735263 2.299837956921973e-7 1.6287173842619648e-6 3.3811550650768783e-6 8.26424379477196e-7 2.068588841272233e-5 1.502578427490629e-5 1.7786567566210217e-7 2.6745668071312687e-6 3.1615492506308285e-6 8.111262405723582e-7 1.8670230875713247e-5 1.591730670131523e-5 6.699852557713975e-13 9507.350780127892 7.387780849021732e8
550 4544.993366384954 8.242166364259289 2.478861793961132e-7 1.7829109785102746e-6 3.5277583746359535e-6 8.899866215047767e-7 2.386642455052774e-5 1.7197482015540754e-5 1.9171108404787073e-7 2.9375172122452258e-6 3.393330357080889e-6 8.735100034207052e-7 2.1620890036030164e-5 1.844594595529875e-5 2.9348295378740685e-13 9507.350780127645 7.38778084902166e8
600 4957.033178616165 8.239531001869791 2.6463171505089343e-7 1.93234607483505e-6 3.6407061223618556e-6 9.514284479105595e-7 2.711028741766116e-5 1.9448003611004864e-5 2.0466180522605326e-7 3.19209165392875e-6 3.611689200065858e-6 9.338155256705923e-7 2.4666628649157155e-5 2.1107016329934058e-5 9.896263542182384e-13 9507.350780127847 7.387780849021418e8
650 5368.949225619628 8.237209798669824 2.8009129766635813e-7 2.0759779960395974e-6 3.7256423039039334e-6 9.838809549637583e-7 3.0459979070310733e-5 2.1811677869496143e-5 2.1661799152647045e-7 3.4354261148629998e-6 3.81895865739935e-6 9.65669235457037e-7 2.7847056849976694e-5 2.3957771445468115e-5 -4.747081536692994e-12 9507.350780127863 7.3877808490216e8
700 5780.756624326558 8.23507922376694 2.9421848964140534e-7 2.2124968995277336e-6 3.787995491547866e-6 1.027426538648857e-6 3.372386085878714e-5 2.42105213580937e-5 2.2754372887386055e-7 3.664293357309507e-6 4.017814190789e-6 1.008406123820189e-6 3.097426530033696e-5 2.6913601259228774e-5 1.8246662769353744e-13 9507.35078012774 7.387780849021721e8
750 6192.448746709645 8.232705355980428 3.0701960597739185e-7 2.3406806023784887e-6 3.832505948931561e-6 1.0304984251744964e-6 3.682248529067016e-5 2.661904147102853e-5 2.374439011857061e-7 3.875702048849655e-6 4.2104163743310805e-6 1.0114230484488416e-6 3.399161837373562e-5 2.993007839729001e-5 6.65436321199342e-12 9507.350780127847 7.387780849021635e8
800 6604.03018128588 8.230645697247693 3.18470606441746e-7 2.4596231812018804e-6 3.86470038221191e-6 1.0404161785752062e-6 3.963859791443511e-5 2.904319630752192e-5 2.462999161430677e-7 4.0672302185307194e-6 4.399540720912638e-6 1.021155971463911e-6 3.67932479944393e-5 3.2938223723602824e-5 -1.9985647649558195e-12 9507.35078012762 7.387780849021709e8
850 7015.516679801908 8.22890185844183 3.285178544540443e-7 2.569007025498923e-6 3.890545619010749e-6 1.0263357004823075e-6 4.216672078671944e-5 3.1747284542278566e-5 2.5407029209900566e-7 4.237336652149754e-6 4.588245925704854e-6 1.0073360175534496e-6 3.93628396929824e-5 3.593889780963474e-5 -1.5524988559644594e-12 9507.350780127794 7.387780849021508e8
900 7426.9240683881735 8.227475170374381 3.3711478199751207e-7 2.6691431467600465e-6 3.91495432212222e-6 1.0074983248018875e-6 4.4295644553404345e-5 3.4472986365157735e-5 2.6071901411678487e-7 4.3855127122373625e-6 4.778736828726871e-6 9.88855105574445e-7 4.159043223423646e-5 3.944434112585626e-5 -4.124567086716256e-13 9507.350780127708 7.387780849021524e8
950 7838.268236919537 8.22636684839464 3.4420593112008317e-7 2.760891846528975e-6 3.94226367108251e-6 1.0195567032456992e-6 4.615985681729586e-5 3.707336022889792e-5 2.6620319193081146e-7 4.512217270456715e-6 4.9727914941987765e-6 1.0006822807219403e-6 4.360801806391298e-5 4.287129171341768e-5 2.4492760970098003e-12 9507.350780127626 7.387780849021534e8
1000 8249.565127844047 8.225577843307942 3.497473229039453e-7 2.8456168120449236e-6 3.9754911983124585e-6 1.0447120608190517e-6 4.784886294646417e-5 3.959123902161283e-5 2.704888129710152e-7 4.618977381213019e-6 5.171115760596982e-6 1.0253732459465826e-6 4.550441828786227e-5 4.6232597961215144e-5 2.4164231060903274e-12 9507.350780127701 7.3877808490215e8
1050 8656.450230678978 8.225112186070247 3.5368714754010787e-7 2.9239466605548107e-6 4.015950055913426e-6 1.0523339925540859e-6 4.944559528245981e-5 4.1914529468991036e-5 2.7353580838527245e-7 4.707158956237683e-6 5.371352411086978e-6 1.0328527442385632e-6 4.732601711944902e-5 4.9415541041156443e-5 -9.684687638714213e-13 9507.350780127754 7.387780849021475e8
1100 9067.700633392471 8.224960395772234 3.5611834127933734e-7 2.9988183323857117e-6 4.064975710894838e-6 1.0789976753318344e-6 5.105711696627279e-5 4.4168699697733273e-5 2.7541605353829615e-7 4.781366540552182e-6 5.576553621707917e-6 1.0590243467642985e-6 4.920717489874896e-5 5.258525950486243e-5 -2.3756280020139284e-12 9507.350780127887 7.387780849021614e8
1150 9478.951628948726 8.225129517427504 3.5703156255650315e-7 3.070331489214071e-6 4.121851270273024e-6 1.0798632376589353e-6 5.258826680556484e-5 4.638775497944572e-5 2.7612232381713085e-7 4.843607971953833e-6 5.7827471319240415e-6 1.0598733037657356e-6 5.106632043084357e-5 5.576355116921282e-5 2.5135701688925607e-12 9507.350780127714 7.387780849021648e8
1200 9890.21926595373 8.225619641281135 3.564867497777023e-7 3.1392540998040848e-6 4.185844474558691e-6 1.081644574825509e-6 5.41968324249163e-5 4.8628956829829814e-5 2.75700974596805e-7 4.8971478515370444e-6 5.987524703223219e-6 1.061622076164004e-6 5.4837926743622676e-5 5.900743509902225e-5 -1.5202594476089964e-12 9507.3507801275 7.387780849021544e8
1250 10301.51959276333 8.22643064118286 3.5457084399121343e-7 3.205978654837973e-6 4.256289490156673e-6 1.0652771724232988e-6 5.577366865811434e-5 5.0956158896730996e-5 2.742192446507466e-7 4.9452445179943685e-6 6.188414914251297e-6 1.0455585940992908e-6 5.853857411364511e-5 6.240155034951917e-5 -1.4573562266864642e-12 9507.350780127643 7.387780849021502e8
1300 10712.868645625234 8.227562221141085 3.5140110805140593e-7 3.2705757242877317e-6 4.332624490028952e-6 1.0816627661765771e-6 5.788308463336609e-5 5.336016130923606e-5 2.71767823136808e-7 4.9910335101278e-6 6.382792549077692e-6 1.0616391458455777e-6 6.198844371677855e-5 6.590744425840474e-5 1.7676002268011914e-12 9507.350780127677 7.387780849021477e8
1350 11124.23399756496 8.226759119674846 3.471225573548378e-7 3.3328024630455126e-6 4.414317481953363e-6 1.1096578912811573e-6 6.058746332244806e-5 5.572952488436702e-5 2.68458862571776e-7 5.037344353524096e-6 6.56821558160444e-6 1.0891171103684973e-6 6.462363638677896e-5 6.961110381932225e-5 -2.9326173860715308e-12 9507.350780127623 7.387780849021494e8
1400 11535.54730783741 8.225845007920443 3.418981108058028e-7 3.3923907912963197e-6 4.5007152164736186e-6 1.1088979403463363e-6 6.307993841305306e-5 5.809021218542089e-5 2.644183617505373e-7 5.086738285767577e-6 6.742765446334408e-6 1.0883692164623942e-6 6.690334493700468e-5 7.339680297349424e-5 1.3393971325165206e-12 9507.35078012782 7.38778084902177e8
1450 11946.823092075541 8.225251704177648 3.3589650058202915e-7 3.4490875446839442e-6 4.59123549729415e-6 1.099233056102277e-6 6.534890420926409e-5 6.0498617977376875e-5 2.5977681535651696e-7 5.14130651284418e-6 6.905718490226323e-6 1.0788868767245568e-6 6.892761274909148e-5 7.730467595922999e-5 -2.4790267149340217e-14 9507.35078012785 7.387780849021628e8
1500 12358.077397040759 8.224979421802393 3.2929379849547004e-7 3.5025942424677195e-6 4.685373693520626e-6 1.0735878832184381e-6 6.723192915932414e-5 6.288988079796485e-5 2.546703944272958e-7 5.202434714501686e-6 7.057762146153793e-6 1.0537123956100074e-6 7.051575467390198e-5 8.125253312395103e-5 -4.619021782280567e-12 9507.350780127606 7.387780849021654e8
1550 12769.32627348341 8.225028116328286 3.22279282073683e-7 3.552680450665754e-6 4.7826542767771406e-6 1.048086793288889e-6 6.887679908393408e-5 6.531480519453421e-5 2.4924548308028486e-7 5.270739639521751e-6 7.200661318221527e-6 1.0286834416897639e-6 7.185292423753038e-5 8.53038981430137e-5 1.0601050703226333e-12 9507.350780127601 7.387780849021536e8
