#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 5.690301683053733e-11 7.387780849071326e8 1.040022101565697e8
200 663.7004362362721 3.316669046448441 7.374994308206774e-8 1.337288470502682e-10 2.3329003073629937e-10 4.7488629206782207e-7 2.0069679251832895e-9 1.7007293351412045e-9 4.4532031463202787e-11 7.387780849071356e8 1.0400221015656808e8
400 1326.6833891067954 3.3132266432282034 7.192022198271968e-8 1.82618658199446e-10 2.3768601161318717e-10 4.7331832320196554e-7 2.71330424794769e-9 1.8330590378923262e-9 5.328904735639485e-11 7.387780849071382e8 1.0400221015657015e8
600 1989.0075287056425 3.310070457871936 7.197147434615322e-8 2.3797731849130357e-10 2.664405363462821e-10 4.984162842447404e-7 3.2693421303520154e-9 1.9760619807129842e-9 4.887286331053912e-11 7.38778084907162e8 1.0400221015656702e8
800 2650.7106833525095 3.3070264562382428 7.142304870035697e-8 2.94007785306996e-10 2.954650730868308e-10 4.845628609473351e-7 3.72630903910931e-9 2.078897942681124e-9 4.7597190101546924e-11 7.387780849071863e8 1.040022101565685e8
1000 3311.835464152293 3.304286109130058 7.128597763629135e-8 3.4837754854555534e-10 3.275134305860477e-10 5.106776370666921e-7 4.114888874084954e-9 2.410691202214821e-9 5.699143811032843e-11 7.387780849072064e8 1.040022101565705e8
1200 3972.4431308662065 3.301854586612241 7.101417613121393e-8 4.011958134421753e-10 3.593108152722061e-10 4.953662937623449e-7 4.4628709616745255e-9 2.681860733488861e-9 5.5466639432068567e-11 7.387780849071633e8 1.0400221015656805e8
1400 4632.595921467164 3.299736503826192 7.08662069024131e-8 4.5223821589371756e-10 3.90633867161768e-10 4.7433650252060033e-7 4.778355489065689e-9 2.8710931410103058e-9 5.518783406002848e-11 7.387780849072212e8 1.0400221015656172e8
1600 5292.35660100883 3.2979094328955143 7.068432181615036e-8 5.013881796941084e-10 4.2083911485021455e-10 4.7212597564794123e-7 5.060194041561772e-9 3.0562756769825228e-9 6.253961450224912e-11 7.387780849072273e8 1.0400221015656222e8
1800 5951.762739503867 3.2962137392386555 7.05418701866362e-8 5.485901818556054e-10 4.498094525951833e-10 4.6234572437242605e-7 5.3124660226444576e-9 3.2516356274214786e-9 4.8765151511838576e-11 7.387780849072319e8 1.0400221015657459e8
2000 6610.861989105952 3.294839434046911 7.039543682812799e-8 5.937819331146918e-10 4.77371053793047e-10 4.524231371760834e-7 5.540797154424126e-9 3.4271147586473205e-9 5.852774552987837e-11 7.387780849072075e8 1.0400221015656623e8
2200 7269.718908551761 3.293789221599378 7.026286941972431e-8 6.368596834920864e-10 5.034772229194509e-10 4.4262151277507655e-7 5.741910058532085e-9 3.6615926402028265e-9 6.042214418488302e-11 7.387780849072053e8 1.0400221015656665e8
2400 7928.398541575593 3.2930652503620523 7.014799150980659e-8 6.777354327404119e-10 5.280854389725927e-10 4.32450178777799e-7 5.923961765574859e-9 3.875465282021651e-9 5.730741422555196e-11 7.387780849072108e8 1.0400221015656413e8
2600 8586.9637069969 3.2925940232814876 7.004192678273672e-8 7.163037894551327e-10 5.511765979174526e-10 4.2285046220058575e-7 6.09070838208936e-9 4.069012571328301e-9 5.717173326836698e-11 7.387780849071714e8 1.040022101565699e8
2800 9245.448093965017 3.2923060040890118 6.99634707832294e-8 7.524951857307028e-10 5.72754222803418e-10 4.1110251913778484e-7 6.242246719523337e-9 4.252574070662263e-9 5.4013588394071377e-11 7.387780849071968e8 1.0400221015656397e8
3000 9903.907892552355 3.2923465767018136 6.990270369021451e-8 7.862391114887677e-10 5.928220685505802e-10 4.077114681422245e-7 6.381013051282025e-9 4.429676181416653e-9 5.447805866898538e-11 7.387780849071728e8 1.0400221015657094e8
3200 10562.408850576448 3.2927159408277924 6.986553466755867e-8 8.174831330851425e-10 6.114345623327231e-10 4.0452687244396657e-7 6.503780625166655e-9 4.59756233084363e-9 6.418885300120195e-11 7.387780849071293e8 1.0400221015656474e8
3400 11220.957374972188 3.292546147583428 6.985688653328956e-8 8.461766302324087e-10 6.286472071092943e-10 4.0517898014513776e-7 6.610012981411728e-9 4.738287318062362e-9 6.184744060291707e-11 7.387780849071912e8 1.0400221015656535e8
3600 11879.43581488037 3.2922943105480336 6.9865240768943e-8 8.722868849900207e-10 6.44540646535892e-10 4.0822351365932263e-7 6.69859545610052e-9 4.851977930542262e-9 5.3479098154136805e-11 7.387780849072071e8 1.0400221015656923e8
3800 12537.896932268848 3.292371258452068 6.990217946801348e-8 8.958393432965413e-10 6.591767238942079e-10 4.110675035917666e-7 6.767409743702046e-9 4.946835829855445e-9 6.951622414537427e-11 7.387780849071897e8 1.0400221015656425e8
4000 13196.406445398334 3.2927730005440097 6.995446087413934e-8 9.169195714849032e-10 6.725936216036689e-10 4.118664946872741e-7 6.813923647541742e-9 5.043236495083647e-9 5.787088654971112e-11 7.387780849072049e8 1.040022101565692e8
4200 13855.00718315144 3.293286482669097 7.002713224708595e-8 9.356732613648734e-10 6.848198929379069e-10 4.150006134295836e-7 6.836958554856665e-9 5.1514552623643795e-9 6.025833869929173e-11 7.387780849071865e8 1.040022101565666e8
