N   M   Resolution (km)          Normalized height error  Order                     
2   4   2.50197224330054503e+06  3.53237987009824518e-03  
2   8   1.25098612165027251e+06  2.36818866425694884e-04  3.90
2   16  6.25493060825136257e+05  3.20747629223115259e-05  2.88
