#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 cons_h cons_h_vcon1 cons_h_vcon2 dsdu_ut entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.660352279647373e-13 7.387780641008912e8
200 26154.166912786874 130.65162573126608 0.30061727814225037 0.00013453619863356965 0.00016157095412814532 1.7604564004923304 0.0034636731741320703 0.003703337933717299 1.2732925824820995e-11 0.0707626967058535 2.9627957015709567e-16 -7.826289341684637e-15 7.387780641008924e8
400 52295.52146443086 130.59100864994778 0.36647467647414195 0.00023333632050713088 0.0001794379528373216 1.8233148161370991 0.003562758123474785 0.004952844288905887 2.546585164964199e-11 0.04666487029664418 3.074236948707791e-16 1.2324338102466164e-12 7.387780641008896e8
600 78440.00489129168 130.55563658398202 0.34629475515021646 0.0003272282016603604 0.00025599250806180104 1.7338839464327975 0.00552615988013988 0.009095880272763812 1.2732925824820995e-11 0.04004082615826304 2.981426109283385e-17 -7.908764034649356e-13 7.387780641008878e8
800 104583.85459381237 130.78393152803156 0.3425199213655986 0.00035037943245125206 0.00032027263047451724 1.780923282664844 0.008140956141213906 0.00995016108990937 1.8189894035458565e-11 0.07302645613803971 2.5859903305321916e-16 1.3414964450844564e-13 7.387780641008862e8
1000 130649.25200335488 131.0717550659853 0.3115858179131981 0.00039429355029817057 0.0003046116342144826 1.624918768669886 0.006619279127630717 0.007644645517254897 2.9103830456733704e-11 0.00764778189104609 9.194148271730336e-18 -6.934919401007443e-13 7.387780641008848e8
1200 156797.33331266922 130.56659199198006 0.3569029010413205 0.0003725844909049102 0.0003151212873135154 1.6812166088770937 0.0058155415639729036 0.007610249230300459 6.184563972055912e-11 0.0678840980689085 4.5086427977018124e-17 -4.4804357808540577e-13 7.38778064100881e8
1400 182939.2868129577 130.7046471888318 0.3980829445873595 0.00037042618253798113 0.0003041128590706384 1.8815888297713173 0.00409879374227462 0.005565184138057455 1.2732925824820995e-11 0.052383534981915 9.67135966847868e-17 2.218929158166869e-13 7.387780641008779e8
1600 209081.5128483203 130.54810735038333 0.3203247857775339 0.00036312360019055196 0.0003267960451192982 1.4745910563324287 0.00451194979651684 0.003761394343845814 1.8189894035458565e-12 0.033404973927843695 2.620845224639944e-16 1.0233830541422634e-12 7.387780641008798e8
1800 235228.73982890116 130.97800653859323 0.2615250443050993 0.00037864120723179475 0.00032709053645379056 1.2926098611915222 0.003528832488980227 0.005011554288292308 3.637978807091713e-12 0.07436733263847523 3.742901958881762e-16 5.656753105488281e-13 7.387780641008742e8
2000 261296.2779555 130.86385953617852 0.24724454153367378 0.00038749531067039925 0.00037922194494651845 1.4857025889073157 0.005710561181361595 0.006511136530125472 3.637978807091713e-12 0.015202671420465386 2.475254851474779e-16 -8.926258227241956e-13 7.387780641008719e8
2200 287441.53042472206 130.54485491457862 0.2816167126696269 0.00040664562492508506 0.0003844110984862969 1.9242275590561349 0.005756651420362746 0.006194096568593932 4.001776687800884e-11 0.06430284108817447 8.05150507718511e-17 7.94421972902509e-14 7.387780641008713e8
2400 313585.97972641775 130.64499267064866 0.37081253146268894 0.0004363599761538729 0.0004037227573085911 2.1644053525014897 0.007209170953716315 0.007739895101070704 6.366462912410498e-11 0.05757407375977264 2.5487996245191983e-16 8.723326067208059e-13 7.387780641008673e8
2600 339728.9342940147 130.6248916066522 0.3487818974564695 0.0004523049419241468 0.0004273275130338822 2.2909570316023746 0.0075122643190521365 0.009067548593290842 4.18367562815547e-11 0.026394991839192028 9.364186965302371e-17 -8.587859278113733e-13 7.387780641008685e8
2800 365882.1836828805 131.22377308980202 0.36171663722474745 0.00047188523696858485 0.0004509776605794242 1.9455895899118332 0.00560752590429775 0.007895192697043684 2.000888343900442e-11 0.07493873276269553 6.011554890007688e-17 6.063766098160041e-13 7.387780641008693e8
3000 391940.92326034035 130.68130341690923 0.4347375570866761 0.0004891052957069755 0.00046124279973151127 1.9082345143169732 0.006839733718243479 0.006492299983724026 1.4551915228366852e-11 0.022587285713834337 6.992151863933277e-17 -3.117803759856637e-13 7.387780641008619e8
3200 418082.1953122511 130.5618958131579 0.43347599783272583 0.0005186400262890759 0.0004787829632346744 1.9553495478189689 0.006535086759701938 0.007029277876012652 4.3655745685100555e-11 0.06006646253545139 2.8541448090262754e-16 -1.3832315496952014e-13 7.387780641008608e8
3400 444226.3672683112 130.5635830070789 0.4412581915483171 0.0005375311167794951 0.0004970381575259687 2.4342265647599106 0.008224738637537365 0.008280853972282426 3.8198777474462986e-11 0.06213887240012178 3.8170368194760286e-16 -2.1417383591803904e-13 7.387780641008563e8
3600 470369.0071799705 130.7349007702104 0.4368160345522276 0.0005466827453871256 0.0005272800072132358 2.579646504088487 0.008314049859194234 0.007928126145407777 7.275957614183426e-12 0.019148002207583503 4.573704331910792e-17 -7.273241771962068e-13 7.387780641008596e8
3800 496527.9744841265 131.1352096641012 0.36712991960054914 0.0005674423128899483 0.0005465229546122346 2.252530363679398 0.00718089259524024 0.009279496638984974 4.3655745685100555e-11 0.07473006282968159 1.6036885294081315e-16 7.93158433038147e-13 7.387780641008608e8
4000 522585.3448958055 130.59814364336034 0.3578058459561372 0.0005771519765387303 0.0005677431625573496 2.1076818199835543 0.007872788831999378 0.008571998299501726 2.3646862246096134e-11 0.029740241252946942 1.3457454867519117e-16 -6.910567541803375e-13 7.387780641008558e8
4200 548727.2997815105 130.65472866748516 0.36430063222738407 0.0005903632324283246 0.0005829630652245229 2.1303296623009373 0.009553602238057346 0.006915209566535463 1.0913936421275139e-11 0.055199426313925604 1.2492352073615277e-16 1.0261427400732903e-13 7.3877806410085e8
4400 574870.8638629818 130.55942145061053 0.3353037965241551 0.000597951739582333 0.0006122586360826544 2.6929331737283064 0.010164064277365714 0.009028040094874429 2.546585164964199e-11 0.0660775307625191 4.2786558830260133e-16 -7.142599407804398e-13 7.387780641008476e8
4600 601017.3234321082 130.91512656444974 0.41016960237428357 0.0006085609641672445 0.0006295100399948345 2.2319935404993885 0.007061194858605069 0.008275357275622452 2.3646862246096134e-11 0.011657097323471644 4.899974838878617e-16 3.311393382711615e-13 7.387780641008505e8
4800 627177.6613745625 130.89895531805394 0.4113824266071665 0.0006386794831824175 0.0006461632848534885 2.113318257011315 0.008760832614119418 0.007037316562016074 1.8189894035458565e-12 0.07374579422311545 7.625380071881029e-17 -1.002745236357684e-12 7.387780641008481e8
5000 653228.0079735887 130.5350152705228 0.4597307779340719 0.0006701560928772715 0.0006611467271298109 2.2062240372833912 0.009521819893713701 0.00826028972698889 3.092281986027956e-11 0.03656593967530708 2.6305051331044858e-18 1.5808491844814184e-12 7.387780641008439e8
5200 679371.4449241469 130.6728974351182 0.5068924918888515 0.0006994258910639181 0.0006760158903075825 2.9411955030536774 0.009912949121647419 0.007590761104680932 2.7284841053187847e-11 0.04975290569697255 2.415512284645814e-16 -2.663589895433597e-13 7.387780641008401e8
5400 705513.2987470825 130.58131552623803 0.46563237283412684 0.0007208695376974798 0.0007046246043783322 2.6311603063641087 0.009699670313968678 0.009916853663328923 2.3646862246096134e-11 0.06932903346761193 2.6839565487089323e-16 3.017639508790849e-13 7.387780641008362e8
5600 731663.8405500104 131.14086990700127 0.5029517026322254 0.0007354272511024744 0.0007256501014451402 2.6543257191060547 0.008409255456023695 0.013104857664151235 5.4569682106375694e-12 0.00405982102979896 3.2883277227338235e-16 -8.3495480018777e-13 7.387780641008393e8
5800 757822.9879577003 130.74803038339306 0.4548806351908307 0.0007590589462319695 0.0007407941717866777 2.91531098428095 0.00653307767812733 0.012428942461452458 7.275957614183426e-12 0.07198946609704338 3.662366108984391e-16 4.222520492177014e-13 7.387780641008377e8
6000 783872.0952060586 130.5648147836587 0.43425148497550475 0.0007748793274433618 0.000752469717770147 2.647176614434102 0.008869739559690615 0.008521020529840884 3.637978807091713e-12 0.04303091943746079 5.558218084979134e-16 -1.6345457998081235e-12 7.387780641008315e8
6200 810017.633037708 130.58753282231666 0.4450485925249242 0.0007997479337791534 0.000757960130791646 2.992159797544673 0.01067896882446312 0.010151083427595575 4.18367562815547e-11 0.04379378961408287 8.321807532785149e-17 4.687081982307443e-13 7.387780641008322e8
6400 836161.297047696 130.70153827853485 0.4305989030356442 0.0008019436160311222 0.0007789347233902424 2.5875334408779054 0.00921642367348563 0.010396240634596099 4.547473508864641e-11 0.07187176279840779 4.735400005471115e-16 -3.5394431836855566e-13 7.38778064100828e8
6600 862319.1025382912 131.23383923017667 0.45544386565701894 0.0008181692171740316 0.0007934339968090207 2.68686591902042 0.008283419883780702 0.010783542286014244 1.2732925824820995e-11 0.0036328264190061965 2.4095202669119123e-17 -1.0068191951930815e-12 7.387780641008273e8
6800 888471.3519184008 130.6085402935657 0.5055239428410034 0.0008433390460025262 0.0008037155187329661 2.4252795550567043 0.009333923042002978 0.009779483673882983 2.7284841053187847e-11 0.06948877495056055 3.022874793576865e-16 -5.708749685361118e-13 7.387780641008192e8
7000 914515.8813557432 130.62829445637198 0.48631380055346174 0.0008668389455503833 0.0008401878702385147 3.8569364760146527 0.00960278315505686 0.00996859001883621 5.638867150992155e-11 0.04904188937498427 1.1384179339902754e-16 8.716740344278657e-13 7.387780641008211e8
7200 940660.3987722341 130.54630975708503 0.5021680153722191 0.0008984045962837094 0.0008580905524208894 3.0612500156348688 0.01315828747551906 0.01214717244519209 5.638867150992155e-11 0.03738500478472695 5.719095815401054e-16 -3.055775439242502e-13 7.387780641008147e8
7400 966805.7000585154 130.8473256920656 0.5230350716130261 0.0009135214231704682 0.0008821481461197482 3.747951432552327 0.009167927893903582 0.01230651651955976 2.7284841053187847e-11 0.07366540294297053 2.4024625861176913e-16 8.735731731330886e-13 7.387780641008186e8
