#timestep time dt l2_h l2_h_v1 l2_h_v2 l2_h_v3 l2_b linf_h linf_h_v1 linf_h_v2 linf_h_v3 linf_b l2_H l2_v1 l2_v2 l2_v3 l2_b linf_H linf_v1 linf_v2 linf_v3 linf_b dsdu_ut waterheight e_total 
650 9487.253671909708 14.607821929477945 7.624866442844748e-16 1.0 1.0 1.0 0.0 1.403917996025311e-14 1.0 1.0 1.0 0.0 7.604324071923408e-16 1.0 1.0 1.0 0.0 1.403917996025311e-14 1.0 1.0 1.0 0.0 7.229682577499543e-24 5942.574955414761 1.7407953877230707e8
700 10217.644768383594 14.607821929477844 7.854962781894817e-16 1.0 1.0 1.0 0.0 1.2055382791956463e-14 1.0 1.0 1.0 0.0 7.833776973092515e-16 1.0 1.0 1.0 0.0 1.2055382791956463e-14 1.0 1.0 1.0 0.0 7.721170612766959e-24 5942.574955414761 1.7407953877230707e8
750 10948.03586485748 14.60782192947776 8.074928938299435e-16 1.0 1.0 1.0 0.0 1.1750183227603146e-14 1.0 1.0 1.0 0.0 8.052894409644188e-16 1.0 1.0 1.0 0.0 1.1750183227603146e-14 1.0 1.0 1.0 0.0 8.225306622641074e-24 5942.574955414761 1.7407953877230707e8
800 11678.426961331366 14.607821929477707 8.292345780260793e-16 1.0 1.0 1.0 0.0 1.3581380613723082e-14 1.0 1.0 1.0 0.0 8.269841930671233e-16 1.0 1.0 1.0 0.0 1.3581380613723082e-14 1.0 1.0 1.0 0.0 8.731225606909085e-24 5942.574955414761 1.7407953877230704e8
850 12408.818057805252 14.607821929477652 8.515970954551776e-16 1.0 1.0 1.0 0.0 1.1902783009779812e-14 1.0 1.0 1.0 0.0 8.492983882824893e-16 1.0 1.0 1.0 0.0 1.1902783009779812e-14 1.0 1.0 1.0 0.0 9.216417513848056e-24 5942.574955414761 1.7407953877230707e8
900 13139.209154279139 14.60782192947751 8.743282804569294e-16 1.0 1.0 1.0 0.0 1.2207982574133116e-14 1.0 1.0 1.0 0.0 8.719362306075112e-16 1.0 1.0 1.0 0.0 1.2207982574133116e-14 1.0 1.0 1.0 0.0 9.813936807602478e-24 5942.574955414761 1.7407953877230704e8
950 13869.600250753025 14.607821929477494 8.967534301378578e-16 1.0 1.0 1.0 0.0 1.3581380613723075e-14 1.0 1.0 1.0 0.0 8.942987203263535e-16 1.0 1.0 1.0 0.0 1.3581380613723075e-14 1.0 1.0 1.0 0.0 1.0232267174770344e-23 5942.574955414761 1.7407953877230707e8
1000 14599.99134722691 14.607821929477417 9.254792950049214e-16 1.0 1.0 1.0 0.0 1.4344379524606417e-14 1.0 1.0 1.0 0.0 9.229200120945511e-16 1.0 1.0 1.0 0.0 1.4344379524606417e-14 1.0 1.0 1.0 0.0 1.0794126980646845e-23 5942.574955414761 1.7407953877230707e8
1050 15330.382443700797 14.607821929477348 9.494838914986632e-16 1.0 1.0 1.0 0.0 1.4039179960253075e-14 1.0 1.0 1.0 0.0 9.468562527617232e-16 1.0 1.0 1.0 0.0 1.4039179960253075e-14 1.0 1.0 1.0 0.0 1.1348715594073239e-23 5942.574955414761 1.7407953877230704e8
1100 16060.773540174683 14.607821929477291 9.845154162670221e-16 1.0 1.0 1.0 0.0 1.6022977128549732e-14 1.0 1.0 1.0 0.0 9.817976130290272e-16 1.0 1.0 1.0 0.0 1.6022977128549732e-14 1.0 1.0 1.0 0.0 1.1819504410986517e-23 5942.574955414761 1.7407953877230704e8
1150 16791.16463664852 14.607821929477204 1.0157956485029844e-15 1.0 1.0 1.0 0.0 1.4191779742429732e-14 1.0 1.0 1.0 0.0 1.0130177441401945e-15 1.0 1.0 1.0 0.0 1.4191779742429732e-14 1.0 1.0 1.0 0.0 1.235066362651812e-23 5942.5749554147615 1.7407953877230707e8
1200 17513.725150871614 14.607821929477124 1.0417122882524468e-15 1.0 1.0 1.0 0.0 1.5259978217666348e-14 1.0 1.0 1.0 0.0 1.0388568926404731e-15 1.0 1.0 1.0 0.0 1.5259978217666348e-14 1.0 1.0 1.0 0.0 1.28395329181445e-23 5942.574955414761 1.7407953877230707e8
1250 18244.11624734541 14.60782192947704 1.0760232689906145e-15 1.0 1.0 1.0 0.0 1.3123581267193096e-14 1.0 1.0 1.0 0.0 1.0730665746842098e-15 1.0 1.0 1.0 0.0 1.3123581267193096e-14 1.0 1.0 1.0 0.0 1.3329878735440825e-23 5942.574955414761 1.7407953877230707e8
1300 18974.507343819205 14.60782192947694 1.1054647414782198e-15 1.0 1.0 1.0 0.0 1.861717342555299e-14 1.0 1.0 1.0 0.0 1.1024437639926033e-15 1.0 1.0 1.0 0.0 1.861717342555299e-14 1.0 1.0 1.0 0.0 1.3888423323303676e-23 5942.574955414761 1.7407953877230707e8
1350 19704.898440293 14.607821929476879 1.1337305451512454e-15 1.0 1.0 1.0 0.0 1.5107378435489697e-14 1.0 1.0 1.0 0.0 1.1306297559511397e-15 1.0 1.0 1.0 0.0 1.5107378435489697e-14 1.0 1.0 1.0 0.0 1.4403758641089452e-23 5942.574955414761 1.7407953877230707e8
1400 20435.289536766795 14.607821929476835 1.1616979634008274e-15 1.0 1.0 1.0 0.0 1.9685371900789596e-14 1.0 1.0 1.0 0.0 1.158532154192417e-15 1.0 1.0 1.0 0.0 1.9685371900789596e-14 1.0 1.0 1.0 0.0 1.4908786138160516e-23 5942.5749554147615 1.7407953877230704e8
