N   M   resolution_km            l2_height_normalized     order
3   4   1.66798149553369672e+03  3.92652671501998599e-04  missing
3   8   8.33990747766848358e+02  4.22336654595683637e-05  3.22
3   16  4.16995373883424179e+02  4.84631688140065020e-06  3.12
3   32  2.08497686941712089e+02  6.10323121372437337e-07  2.99
3   64  1.04248843470856045e+02  7.57141496372624685e-08  3.01
