N   M   end_time resolution_km            l2_depth_error           linf_depth_error         l2_height_error          linf_height_error        l2_order linf_order
2   4   5.00000 1.25098612165027248e+03  3.93193596962108406e-03  1.67121829962041703e-02  3.04002374453958037e-03  1.63705858435094775e-02  missing  missing
3   4   5.00000 8.33990747766848358e+02  6.74349808791391259e-04  1.74830113425484884e-03  5.21531095858862397e-04  1.71613601287903123e-03  missing  missing
4   4   5.00000 6.25493060825136240e+02  2.63942266869021071e-05  8.09468439969060488e-05  2.04128594592718521e-05  7.94551800704051785e-05  missing  missing
5   4   5.00000 5.00394448660108992e+02  3.01547394386242629e-06  1.17052638669672341e-05  2.33211782939988157e-06  1.14892210455161650e-05  missing  missing
6   4   5.00000 4.16995373883424179e+02  1.51043581079439304e-07  8.86719000262875736e-07  1.16814615229578193e-07  8.70337568453450369e-07  missing  missing
7   4   5.00000 3.57424606185792129e+02  6.75790716033571461e-09  8.14431073160845067e-08  5.22645397481511966e-09  7.99363721961973231e-08  missing  missing
8   4   5.00000 3.12746530412568120e+02  8.56720290009829040e-10  6.88369354343527435e-09  6.62573346196091616e-10  6.75632477784068212e-09  missing  missing
9   4   5.00000 2.77996915922282767e+02  5.19099955106062768e-11  5.90159936405671211e-10  4.01463344698665393e-11  5.79236673332457892e-10  missing  missing
10  4   5.00000 2.50197224330054496e+02  4.23905521347579199e-12  1.29666655449968874e-10  3.27841527339956039e-12  1.27266201193917852e-10  missing  missing
