N   M   end_time resolution_km            l2_depth_error           linf_depth_error         l2_height_error          linf_height_error        l2_order linf_order
3   4   5.00000 8.33990747766848358e+02  6.74349808791748721e-04  1.74830113424962862e-03  5.21531095859141037e-04  1.71613601287388755e-03  missing  missing
3   8   5.00000 4.16995373883424179e+02  9.44627781039360649e-05  2.45109901294871609e-04  7.30559556004195250e-05  2.40602928845430852e-04  2.84     2.83     
3   16  5.00000 2.08497686941712089e+02  1.11389356926644538e-05  3.02151796902659063e-05  8.61466920895638319e-06  2.96565075825408436e-05  3.08     3.02     
3   32  5.00000 1.04248843470856045e+02  1.35879900906642233e-06  4.12337236304711705e-06  1.05087275000393702e-06  4.04704955047422572e-06  3.04     2.87     
3   64  5.00000 5.21244217354280224e+01  1.70870302280962527e-07  6.71742436341586418e-07  1.32148274508234235e-07  6.59307082018767228e-07  2.99     2.62     
