#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy 
600 25474.75725711659 42.446346206859175 5.692815617736438e-7 1.3760662900040406e-5 1.1483555064650643e-5 4.278596185880822e-6 6.606180778474685e-5 4.1407040702049836e-5 4.402729738983303e-7 1.8439422547881644e-5 2.3173352640446734e-5 4.199669989711907e-6 0.00012906149786092724 8.554303461368215e-5 -3.462910918796478e-7 9507.350780128096 7.387780844853617e8
650 27576.135747409357 42.48376418116403 5.596036931651755e-7 1.4502002624493238e-5 1.1419311172570447e-5 4.6237609938977075e-6 6.685317876825983e-5 4.298555934853935e-5 4.3278826987772886e-7 1.9350985677241463e-5 2.2838862253329454e-5 4.538173027264358e-6 0.00012445253539101578 8.269941245265909e-5 -3.434622253422396e-7 9507.350780128052 7.387780844846381e8
700 29702.31193409431 42.56956561832715 5.512435225652773e-7 1.5236831897822126e-5 1.1342015107784407e-5 4.680917308156635e-6 6.477912647474729e-5 4.519596824319436e-5 4.2632265177453397e-7 2.0339684197477564e-5 2.22460551929465e-5 4.594802264381152e-6 0.00011553846186924937 8.008740735232797e-5 -3.3877162885688504e-7 9507.350780128072 7.387780844839109e8
750 31833.99372269709 42.70284144899068 5.547770199564778e-7 1.5972689849945386e-5 1.1240062312943475e-5 4.744830498683718e-6 6.374300498693543e-5 4.7041120316980594e-5 4.29055400398314e-7 2.1422721226613428e-5 2.148993735542632e-5 4.657055100292315e-6 0.00010601404557513602 7.27562420604704e-5 -3.3984048882405234e-7 9507.350780128083 7.387780844831887e8
800 33968.59466506849 42.628603925130925 5.551914310398167e-7 1.6678917508878435e-5 1.1117395784251349e-5 4.829427565933375e-6 6.535513717826338e-5 4.7871299256987906e-5 4.2937589909774474e-7 2.249351866151763e-5 2.07074166775661e-5 4.740537129033484e-6 8.896039294607579e-5 7.486104265443858e-5 -3.4188988591045423e-7 9507.35078012808 7.387780844824624e8
850 36091.92892710894 42.51975861657087 5.551754447171554e-7 1.7307194565371632e-5 1.1020449009385765e-5 4.8321448819403865e-6 6.744042145264113e-5 4.891397815427662e-5 4.2936353553891845e-7 2.350837697826366e-5 2.0012798289520297e-5 4.743043990220927e-6 7.350816079525066e-5 7.96432172107077e-5 -3.404145306348663e-7 9507.350780128072 7.387780844817355e8
900 38216.155251700584 42.45856266600268 5.613386939878046e-7 1.7880357794888655e-5 1.0990777148836063e-5 4.694244599609142e-6 6.829497564078911e-5 5.086970500165183e-5 4.341300909083264e-7 2.4480872582174677e-5 1.9441578402755947e-5 4.607388550487545e-6 6.898871618523149e-5 8.174914935139297e-5 -3.4136464143386815e-7 9507.350780128072 7.387780844810126e8
950 40338.554126905416 42.44569072219112 5.668920589380086e-7 1.8348347719025534e-5 1.1047124806680527e-5 4.5263916104767765e-6 6.776358848105307e-5 5.360843917705278e-5 4.38424971801491e-7 2.5250523113308296e-5 1.906719019111877e-5 4.443017317139786e-6 6.441027903668319e-5 8.457062666980403e-5 -3.44811382910309e-7 9507.350780128065 7.387780844802883e8
1000 42461.53507682889 42.480765621908056 5.651030461431498e-7 1.8723816032216623e-5 1.116258731027871e-5 4.350876379974583e-6 7.105212647538893e-5 5.78322710667851e-5 4.370413788011013e-7 2.584399674695494e-5 1.8852572359941674e-5 4.2704508784808216e-6 6.767121561822264e-5 8.809636214836215e-5 -3.435340902572136e-7 9507.35078012805 7.38778084479555e8
1050 44559.30973070803 42.462458376138215 5.656701675923345e-7 1.9032934862724695e-5 1.1319995547261095e-5 4.085091762985478e-6 8.030780715076962e-5 5.640769941465404e-5 4.3747998118079644e-7 2.6265901389168744e-5 1.8822153832011257e-5 4.009696759086621e-6 8.030141131408372e-5 8.636897140657841e-5 -3.394889359608446e-7 9507.35078012808 7.38778084478841e8
1100 46681.78110801031 42.444730452268516 5.682444271635549e-7 1.9266963519458116e-5 1.1612539452677773e-5 3.959355040355606e-6 8.614161948229375e-5 5.468660431951253e-5 4.394708710909153e-7 2.6425748093451368e-5 1.913404083401904e-5 3.88625480257463e-6 8.965473686738134e-5 8.611374527868056e-5 -3.380786278661111e-7 9507.35078012805 7.387780844781147e8
1150 48804.59263321428 42.47517953143672 5.644509531552771e-7 1.9439167031131224e-5 1.1975654061839979e-5 4.440783836919329e-6 8.678699382667019e-5 5.423876813785005e-5 4.365370608357836e-7 2.6399276503156315e-5 1.963061454248378e-5 4.358614132949848e-6 0.00010017099824915831 8.948450585625158e-5 -3.371109330849877e-7 9507.35078012806 7.387780844773992e8
1200 50930.159096329 42.553919925004124 5.593945858846696e-7 1.9575952889981362e-5 1.2368590597216749e-5 4.839045322146426e-6 8.27021428137384e-5 5.357739937891171e-5 4.3262654975630265e-7 2.6246055666684786e-5 2.0250785861660686e-5 4.7498680778058106e-6 0.00010817864215536487 9.013465547935144e-5 -3.3281697064144736e-7 9507.350780128038 7.387780844766884e8
1250 53033.932105306216 42.67841268041857 5.595236365615214e-7 1.9676490940668892e-5 1.283770710678283e-5 5.006191396132264e-6 7.438627649897072e-5 5.2875988020943486e-5 4.3272635542177455e-7 2.5954664392686892e-5 2.1188924276369465e-5 4.9135946329468734e-6 0.00011109168673482922 9.125784342087052e-5 -3.31071113819511e-7 9507.350780128081 7.387780844759903e8
1300 55168.965375597436 42.65043205655864 5.599473558071671e-7 1.974943522879006e-5 1.3365370694348945e-5 5.167571150443721e-6 6.535134126583682e-5 4.933241554518432e-5 4.3305405289910706e-7 2.560143773536718e-5 2.2363754095938833e-5 5.072192429244035e-6 0.00011181323885055555 9.149747400636898e-5 -3.3250779846750656e-7 9507.35078012806 7.387780844752872e8
1350 57298.31547476883 42.533793073534625 5.587135009226414e-7 1.9816566622368754e-5 1.3858312285857264e-5 5.279937419228109e-6 6.736854259287864e-5 4.674774932885176e-5 4.3209980987409e-7 2.5293654625081098e-5 2.3514171579391593e-5 5.182532124805142e-6 0.00011491085787096458 8.383777674424831e-5 -3.3394668332111155e-7 9507.350780128076 7.387780844745749e8
1400 59423.049967747465 42.46499721023498 5.593021061315641e-7 1.9890940530367527e-5 1.4288427794868671e-5 5.1401774292210295e-6 7.00170313017883e-5 4.770724124877896e-5 4.3255502744069247e-7 2.5027808570757257e-5 2.4608251768185258e-5 5.045032063353436e-6 0.00011636379069465374 7.090925506474726e-5 -3.345929609568417e-7 9507.350780128054 7.387780844738642e8
1450 61541.13877715794 42.44451559295982 5.622291195224328e-7 1.9988261770467098e-5 1.4614028321046242e-5 4.8709049419512284e-6 7.888802905068484e-5 4.85326498819741e-5 4.348187313383287e-7 2.482005041316976e-5 2.554932735538831e-5 4.781035886282306e-6 0.00011604436864612173 6.60431838155046e-5 -3.3600503639909487e-7 9507.350780128078 7.387780844731559e8
1500 63663.866536843416 42.47199118579991 5.632555256360033e-7 2.0126777112946404e-5 1.4793953894804715e-5 4.7766167266147494e-6 8.212502222694656e-5 5.084803836867112e-5 4.356125369027352e-7 2.4746594733258582e-5 2.6084164793707265e-5 4.688363019346007e-6 0.0001239058448642324 7.469336184264898e-5 -3.37290414971491e-7 9507.35078012807 7.387780844724413e8
1550 65788.11109904654 42.469111080039866 5.584293197300886e-7 2.0331511114940782e-5 1.4817711030069547e-5 4.6015265373070985e-6 7.915049696466365e-5 5.7900035830652686e-5 4.318800288257415e-7 2.4886091397485638e-5 2.6111189272435603e-5 4.516571965523746e-6 0.00013384432587110813 8.413686054571995e-5 -3.3526400902981623e-7 9507.35078012808 7.38778084471723e8
1600 67910.73622531537 42.44434673173045 5.519159950409246e-7 2.0625745789499066e-5 1.4674738288560399e-5 4.170085130088488e-6 7.161008680326301e-5 5.7924564718863024e-5 4.2684273090074853e-7 2.5251407035715303e-5 2.5720024188497713e-5 4.0931039938968675e-6 0.00013663725017887027 8.615888822153784e-5 -3.3103070927172616e-7 9507.350780128083 7.387780844710172e8
1650 70011.64139666986 42.467195291752546 5.469691465892901e-7 2.0999690431864797e-5 1.4426417335812247e-5 4.192085321146841e-6 7.380038725930399e-5 5.697298969418306e-5 4.2301691986892275e-7 2.5794087522113093e-5 2.503316931676416e-5 4.114478891671107e-6 0.00014207252915842775 8.635386913881327e-5 -3.2716721008515283e-7 9507.350780128067 7.387780844703271e8
1700 72136.61488717263 42.53835180620286 5.440812133809827e-7 2.1438892670671296e-5 1.4121693070614948e-5 4.664685887903528e-6 7.510039169333572e-5 5.812425204883108e-5 4.207834399391224e-7 2.651388465334522e-5 2.4166826961148043e-5 4.578640574309805e-6 0.0001478670043155435 9.183292040206745e-5 -3.234015429033557e-7 9507.35078012807 7.387780844696367e8
1750 74266.36886051885 42.65730480630873 5.444569286796746e-7 2.1919962184936443e-5 1.3798067265443768e-5 4.664080397710897e-6 7.442114503521471e-5 6.197552326546191e-5 4.2107401195689385e-7 2.738990168619519e-5 2.3287579767332683e-5 4.5778998279277265e-6 0.00014571243599312403 9.477987328517263e-5 -3.224406609759296e-7 9507.350780128067 7.3877808446895e8
1800 76401.4735836231 42.67120676798167 5.454863598075663e-7 2.240824178317892e-5 1.3499500006874594e-5 4.498642234038407e-6 7.19432554144419e-5 6.40926996296948e-5 4.2187015701828717e-7 2.8336238572326775e-5 2.2523415496572994e-5 4.415472351725491e-6 0.00013608627021259066 9.306171872361815e-5 -3.230036947467684e-7 9507.350780128061 7.387780844682562e8
1850 78526.18641467951 42.54797991676111 5.490008965774925e-7 2.2868452436028975e-5 1.3260774556864319e-5 4.651904549114785e-6 6.812564554220688e-5 6.546809546348574e-5 4.245882418106291e-7 2.9263149077989056e-5 2.198873679795479e-5 4.56611588192431e-6 0.00012277693580685505 9.13418300240503e-5 -3.2296809086753077e-7 9507.350780128098 7.38778084467577e8
1900 80651.44943569756 42.47208081109579 5.563106250458751e-7 2.3283062135209925e-5 1.3085752162810552e-5 4.730471513184722e-6 7.211202510392612e-5 6.697366503781415e-5 4.3024146528973597e-7 3.0121375587845545e-5 2.1684587249421662e-5 4.642904445363359e-6 0.00010131685153406627 9.443835536323038e-5 -3.2560862380023337e-7 9507.350780128088 7.387780844668789e8
1950 82774.14835749235 42.4444835016133 5.614031684040547e-7 2.3627726746275487e-5 1.2970551272788548e-5 4.422976145264524e-6 8.35262036733092e-5 6.923781151198253e-5 4.341799543594896e-7 3.084378232298098e-5 2.1523033284292057e-5 4.341314623404928e-6 8.343285308816293e-5 9.700343906919282e-5 -3.293812974018823e-7 9507.350780128043 7.387780844661882e8
2000 84896.69710544044 42.4650243258532 5.647172068285834e-7 2.388117266837262e-5 1.2928326371900089e-5 4.067918363011493e-6 8.987309398493107e-5 7.348700089175195e-5 4.367429770375252e-7 3.1364763524528257e-5 2.1506862542470052e-5 3.992854621302603e-6 8.600643380373413e-5 9.999751939726047e-5 -3.29827896298951e-7 9507.350780128083 7.387780844654878e8
2050 86994.79277636803 42.47736985311574 5.697382261659661e-7 2.4042179878533344e-5 1.298278789677742e-5 3.90504160484715e-6 8.942742182263669e-5 7.605671050274337e-5 4.406261506089722e-7 3.163660674020215e-5 2.1740588190307277e-5 3.832869333725209e-6 9.084909769148039e-5 0.0001054895699738432 -3.2803431739525834e-7 9507.35078012804 7.387780844647963e8
2100 89117.6398300306 42.44508975256605 5.734040306281252e-7 2.4128923201776097e-5 1.3137369254328096e-5 3.829734184927589e-6 8.51557491383115e-5 7.405445161941272e-5 4.4346122334060266e-7 3.164993495251245e-5 2.2238315219187052e-5 3.7591130820151957e-6 9.537686906430647e-5 0.00011089483461529491 -3.2623086553649854e-7 9507.350780128047 7.387780844641026e8
2150 91240.09398591676 42.46080813491776 5.718068093642092e-7 2.4155441709258584e-5 1.3390821453718942e-5 3.738069656362517e-6 8.617188637637699e-5 7.255648022501794e-5 4.4222595874969283e-7 3.142702603402602e-5 2.2937999719864178e-5 3.6688951842243033e-6 9.968704891060064e-5 0.00011666671978779428 -3.2409111800709355e-7 9507.350780128047 7.387780844634138e8
2200 93364.56661351274 42.52485732073586 5.654606917155095e-7 2.413887658096144e-5 1.374362880156197e-5 4.184214847714999e-6 8.569544806165912e-5 7.055031658136723e-5 4.373179759898751e-7 3.103468439796788e-5 2.3829599897782266e-5 4.10702979038537e-6 0.00010965465613701762 0.00012089095955489637 -3.2130966780545154e-7 9507.350780128054 7.387780844627274e8
2250 95466.23216033536 42.635098566262684 5.611443853234045e-7 2.4092929546261723e-5 1.4176619400221968e-5 4.667311890632155e-6 8.399358391833628e-5 6.825297639311012e-5 4.3397981579220915e-7 3.0557689463437235e-5 2.490602480943767e-5 4.581264133551413e-6 0.00012136342396198623 0.00012135624357905318 -3.1844572763278645e-7 9507.350780128072 7.387780844620577e8
2300 97601.06365624127 42.69533667300345 5.644992378903704e-7 2.403208244577406e-5 1.4672160117233765e-5 5.052197718184512e-6 7.977526549230566e-5 6.401783694495222e-5 4.3657440345413405e-7 3.0042148861830802e-5 2.6177388627897943e-5 4.958733399156891e-6 0.00012851799628475134 0.00011730045081031988 -3.173076059811657e-7 9507.350780128074 7.387780844613798e8
