N   M   Resolution (km)          l2 height error          linf height error         
1   4   5.00394448660109006e+06  5.65080563317416591e+02  1.24452215745899412e+03  
1   8   2.50197224330054503e+06  3.73598598542785510e+02  9.30589007394499276e+02  
2   4   2.50197224330054503e+06  3.60139174079414772e+01  1.33378518571509630e+02  
2   8   1.25098612165027251e+06  2.41510352810990581e+00  1.04966894753788438e+01  
3   4   1.66798149553369661e+06  6.60517502643355048e+00  4.67664459949010052e+01  
3   8   8.33990747766848304e+05  4.51841653650211783e-01  3.29593631385796471e+00  
