N   M   end_time resolution_km            l2_depth_error           linf_depth_error         l2_height_error          linf_height_error        l2_order linf_order
2   4   5.00000 1.25098612165027248e+03  2.10841524179976444e-03  1.19902028905857320e-02  1.63049087096367147e-03  1.17696074987690587e-02  missing  missing
3   4   5.00000 8.33990747766848358e+02  3.92652695082581831e-04  1.83008481764489216e-03  3.03671650749090234e-04  1.79628057548591991e-03  missing  missing
4   4   5.00000 6.25493060825136240e+02  4.21113218295296232e-05  1.38953253946834219e-04  3.25682009407459868e-05  1.36385492413198286e-04  missing  missing
5   4   5.00000 5.00394448660108992e+02  5.30059815351424735e-06  2.26982195890643445e-05  4.09939521879202356e-06  2.22791760024565813e-05  missing  missing
6   4   5.00000 4.16995373883424179e+02  5.48161291740228847e-07  2.03571313938558990e-06  4.23938905054298433e-07  1.99810491883046099e-06  missing  missing
7   4   5.00000 3.57424606185792129e+02  5.94820199790423693e-08  3.52845249986850569e-07  4.60024135236273174e-08  3.46317093058288026e-07  missing  missing
8   4   5.00000 3.12746530412568120e+02  5.89682077988829181e-09  2.50869859476191620e-08  4.56050396564049660e-09  2.46227977748286093e-08  missing  missing
9   4   5.00000 2.77996915922282767e+02  5.30031933494500695e-10  3.12475010824191018e-09  4.09917958468425184e-10  3.06691402507735147e-09  missing  missing
10  4   5.00000 2.50197224330054496e+02  5.39983339833489081e-11  3.08058748578586829e-10  4.17614210219131382e-11  3.02355859832805335e-10  missing  missing
