#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy mass h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2027995912337642e-14 1.5690751210205686e8 5619.927979669221 3.1681238764726747e7
50 4021.4388243750136 80.42749712737941 5.747958463151254 0.003984422607980899 0.002028045790354026 62.632419431573 0.05145831097577963 0.02231062060942199 -5.88512345693038e-14 1.569075121020456e8 5619.92797966929 3.1681233909725342e7
100 8042.84838548813 80.42817222244685 5.8753059434792325 0.00853495549637689 0.004990770377338306 47.13889628607194 0.10170445587624777 0.048385301857573615 1.203480692951338e-14 1.5690751210203734e8 5619.92797966934 3.168124674799323e7
150 12064.213419114243 80.42758471083874 5.3290258446963366 0.009313998667510924 0.006718106152773497 33.33215168015158 0.08062500973413939 0.05710867107726635 3.562649747101552e-14 1.5690751210202748e8 5619.927979669367 3.1681300549958263e7
200 16085.559998370183 80.4267581911573 4.953071474755344 0.008737754186719899 0.007988080288767966 28.33154492918129 0.07506729027808351 0.07623083036395632 -8.37504224674566e-15 1.5690751210201994e8 5619.927979669362 3.1681210775068447e7
250 20106.815466168853 80.41466232207307 5.191902529443079 0.008620893334499452 0.009242371139115718 29.266092867340376 0.07070324263753447 0.0955220677627447 6.824373927231505e-14 1.5690751210201102e8 5619.92797966931 3.168105991922549e7
300 24122.473192369573 80.23770617109207 5.771282260458596 0.008964600494932258 0.010320592322024145 36.228648766051265 0.07404165968719928 0.11356590458124281 3.9714543337934075e-14 1.5690751210200152e8 5619.927979669347 3.168100782877882e7
350 28136.313053624024 80.31241559795471 6.462214218138959 0.009506579174566283 0.011427090092929233 40.24584244757261 0.08051135218582872 0.12972691779692117 -3.2150794750859553e-14 1.569075121019947e8 5619.927979669347 3.1680999170334946e7
400 32153.155272870565 80.36757308368095 7.166008044195876 0.01023792579628221 0.012660724374286319 44.494112114600284 0.08999695493744536 0.14447259021482745 7.318378753334773e-15 1.5690751210198712e8 5619.927979669263 3.1681013181915652e7
450 36170.23842738304 80.3132577298545 7.815859503896855 0.011101166949684424 0.013989042135246968 51.65161556694693 0.09972869104009602 0.15767373744473254 -2.054416389981259e-15 1.569075121019793e8 5619.927979669305 3.168103887361698e7
500 40185.762966741895 80.32441461096835 8.391886614094174 0.012001419144922242 0.015389362280430387 58.61750258424763 0.10932023586101813 0.17166397746964132 3.873586931400518e-14 1.5690751210196748e8 5619.9279796692845 3.1681067105181478e7
550 44202.84936404369 80.34294627188419 8.904200563290686 0.012893862957412083 0.016825067241579436 65.27653139449285 0.11794102668147766 0.18384436258094214 -3.5053244699908535e-14 1.5690751210196105e8 5619.927979669281 3.1681089030228626e7
600 48219.95732979436 80.33835110624173 9.371175138579092 0.013799271841646865 0.018286182770329073 71.83449676906912 0.1264660740793767 0.19550897545296245 -3.4186408265560766e-14 1.5690751210195312e8 5619.927979669321 3.168109642045668e7
650 52236.09250392051 80.30912664306452 9.813829220365038 0.014713511396130197 0.019748874372941927 78.26114807028989 0.13479023840591658 0.20693508048635398 -4.872159126488835e-14 1.5690751210194442e8 5619.927979669308 3.1681084034138963e7
700 56250.85727086787 80.27525239589579 10.251345405745125 0.015627627539815808 0.021176717824665545 84.27211252262259 0.14329255890893416 0.21766258077605394 9.951512299947345e-15 1.5690751210193744e8 5619.92797966935 3.1681050933228698e7
750 60264.13798453455 80.25538368024449 10.69732633088122 0.016556607467111056 0.02256740512070477 90.29930677729953 0.1518506744909413 0.22903673808516248 -1.2498992717913414e-15 1.5690751210192862e8 5619.927979669332 3.1681000732620817e7
800 64251.0633048318 80.22358806168742 11.154955730681184 0.01750951503234643 0.023938306521528393 95.85542964734759 0.16074179725718557 0.23950909259059128 -1.645388861220929e-14 1.5690751210192168e8 5619.927979669318 3.168094089135976e7
850 68261.50081860505 80.19404693430772 11.627832579026318 0.01848044079168322 0.025267783886696444 101.39173260043844 0.1698692002706418 0.24933317280233697 4.229181838384521e-14 1.5690751210191318e8 5619.927979669318 3.168087924416077e7
900 72270.37179228295 80.1714425171292 12.102184326576907 0.01945864217546691 0.026589213089477523 106.94325523363295 0.1787467835988416 0.2584089219663534 1.113105911984695e-14 1.569075121019034e8 5619.927979669342 3.168082397411182e7
950 76277.9851124586 80.13741467579854 12.537240938816666 0.02047517356839683 0.027899321697224047 112.77233941963004 0.18624819168188994 0.2667969207987956 -2.2768252063136116e-14 1.5690751210189635e8 5619.927979669367 3.168077947546342e7
1000 80284.08613109682 80.11073767301549 13.114073911106281 0.021399071608052926 0.029199851026154622 118.40062949324602 0.19452938833458633 0.27459821899974507 5.487316675134523e-15 1.5690751210188705e8 5619.9279796693145 3.1680751898708068e7
1050 84288.84814175247 80.0836146871585 13.755642378523183 0.022232991881864915 0.030516581364318104 123.94993526756843 0.20229405246670704 0.28274827497108745 1.7072870535470402e-14 1.5690751210187984e8 5619.927979669321 3.168073715667033e7
1100 88292.38847846269 80.05712874537734 13.38473715119884 0.023691515103083014 0.03184719754617379 129.38402682529886 0.20946291862435834 0.2911062013073571 1.3524721370740456e-15 1.5690751210187057e8 5619.927979669356 3.1680700087273713e7
1150 92294.58593150439 80.02791328468089 14.634917956530003 0.02422959419367486 0.03306432195884062 134.79158917595487 0.21652637114495013 0.29889018787916116 -3.6184761902771244e-14 1.569075121018621e8 5619.927979669286 3.1680706612321366e7
1200 96295.43962316736 80.00563035264325 14.790769907823488 0.025310540923969137 0.034405126331582214 139.5747710763144 0.2245192192898921 0.30612768060049245 -5.1532286697388925e-14 1.5690751210185498e8 5619.927979669323 3.168067531164917e7
1250 100295.05154137619 79.98248939793598 15.131757182274596 0.026339842006083743 0.03563811336177993 144.13301319833772 0.2326097544733213 0.3205091572685002 -1.192477985691644e-14 1.5690751210184708e8 5619.927979669296 3.168063862994181e7
1300 104293.4123457869 79.95626061131871 15.58339644734542 0.027302401891020962 0.03685228672671025 149.16988643203513 0.2405645379739357 0.3365804426805818 -7.118185925122581e-14 1.5690751210184026e8 5619.927979669356 3.168059408277335e7
1350 108290.35801147539 79.92509687155166 15.992464262797151 0.028250396566833248 0.038068699579266035 153.7091188546692 0.24853105557174565 0.3521743620597946 6.485258399704923e-15 1.569075121018323e8 5619.9279796692645 3.1680539520483963e7
1400 112285.97926749646 79.90134403564761 16.347645663562478 0.029232458905871343 0.03927234081507756 157.69797710679086 0.2571383600758597 0.3677099726646951 1.4144767087387866e-14 1.5690751210182327e8 5619.927979669238 3.1680479317146823e7
