N   M   resolution_km            l2_height_error          linf_height_error        l2_height_norm           linf_height_norm         l2_order linf_order
3   4   8.33990747766848358e+02  9.48695897926488785e-01  9.32564557165869701e+00  1.01981652548979109e+04  1.36323308799803981e+04  missing  missing
3   8   4.16995373883424179e+02  4.11144628317528862e-02  3.64892728026006807e-01  1.01981476499652217e+04  1.36323492915753923e+04  4.53     4.68     
3   16  2.08497686941712089e+02  2.40478574746150978e-03  2.00514655221013527e-02  1.01981473924730599e+04  1.36323481549515582e+04  4.10     4.19     
3   32  1.04248843470856045e+02  1.48929361912412186e-04  1.10328721939367824e-03  1.01981473885132036e+04  1.36323494481935904e+04  4.01     4.18     
