N   M   resolution_km            l2_height_error          linf_height_error        l2_height_norm           linf_height_norm         l2_order linf_order
3   4   8.33990747766848358e+02  9.48695677295079642e-01  9.32564597791065353e+00  1.01981652548979109e+04  1.36323308799803981e+04  missing  missing
3   8   4.16995373883424179e+02  4.11144598054719035e-02  3.64892670139170150e-01  1.01981476499652217e+04  1.36323492915753923e+04  4.53     4.68     
3   16  2.08497686941712089e+02  2.40478568871336498e-03  2.00514779096465645e-02  1.01981473924730599e+04  1.36323481549515582e+04  4.10     4.19     
3   32  1.04248843470856045e+02  1.48929361267551122e-04  1.10328775326706818e-03  1.01981473885132036e+04  1.36323494481935904e+04  4.01     4.18     
3   64  5.21244217354280224e+01  9.30523881975612235e-06  6.82992415477201575e-05  1.01981473884520965e+04  1.36323494605686046e+04  4.00     4.01     
