N   M   resolution_km            l2_height_normalized     order
7   4   7.14849212371584258e+02  4.02886489384466084e-02  missing
7   8   3.57424606185792129e+02  4.02886489418471938e-02  -0.00
7   16  1.78712303092896065e+02  4.02886489419657379e-02  -0.00
7   32  8.93561515464480323e+01  4.02886489419743282e-02  -0.00
