N   M   resolution_km            l2_height_normalized     order
7   4   7.14849212371584258e+02  8.64476356942645539e-03  missing
7   8   3.57424606185792129e+02  4.75877083465493442e-03  0.86
7   16  1.78712303092896065e+02  1.50031448270945582e-05  8.31
7   32  8.93561515464480323e+01  2.43731756783912505e-08  9.27
