N   M   resolution               l2_height_normalized     order
4   4   1.25098612165027251e+06  1.63972200798438981e-05  missing
4   8   6.25493060825136257e+05  2.20835527096219751e-07  6.21
4   16  3.12746530412568129e+05  7.00009591907931104e-09  4.98
4   32  1.56373265206284064e+05  2.21050553641804840e-10  4.98
