#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy pot_enst 
1350 27122.433362775944 20.033960415717253 0.008782135136126919 0.11829620018957528 0.26926773596231857 0.01752815144932204 0.145443173382795 0.20605313791796928 0.008782135136126919 0.11928453695504823 0.26593261518044725 0.01752815144932204 0.17097107220456678 0.21688962745934817 -1.0140668565509026e-11 9522.996513302278 4.625523826031279e8 1.1073039407900362e-12
1400 28123.793282711857 20.02036932357795 0.009131834424571373 0.12291239680007145 0.27872935510867386 0.0184312645486443 0.15026359591154684 0.21322086534030252 0.009131834424571373 0.12376872352929745 0.275234041842684 0.0184312645486443 0.17661432842066835 0.2244433440030613 -1.1596329842124232e-11 9522.996513302349 4.6255238260312796e8 1.1073039921258424e-12
1450 29124.431458397034 20.00532805140859 0.009492676355274683 0.12738018271669013 0.28834966240541465 0.01919877178110783 0.15507061799999852 0.22061122854067644 0.009492676355274683 0.128081122240469 0.28467593624670395 0.01919877178110783 0.18223082472935154 0.23223876196900453 -1.0177640564418129e-11 9522.996513302207 4.625523826031216e8 1.1073040001708833e-12
1500 30124.310432485 19.990243439852804 0.009860194244456 0.13168880286274084 0.29818667109240693 0.019831490679055104 0.15994310638695614 0.22837303176169904 0.009860194244456 0.1322234678272677 0.29432825088881465 0.019831490679055104 0.187914108045337 0.24042190444625114 -1.1301544102274899e-11 9522.996513302347 4.625523826031213e8 1.1073039885274997e-12
1550 31123.461123172878 19.97632030756934 0.010229865420623213 0.1358339986390896 0.308259530392235 0.020404781851429243 0.16493481675527 0.23660667682668965 0.010229865420623213 0.13620583354096846 0.30422039557480396 0.020404781851429243 0.19373045908450362 0.24908931643296037 -1.0279647349495401e-11 9522.99651330234 4.625523826031242e8 1.1073039807011794e-12
1600 32121.956886353015 19.964023680280945 0.010595691631704547 0.13982259599963923 0.3185490753772225 0.02098119380236711 0.1707345118062987 0.24532335439942163 0.010595691631704547 0.14005098961777332 0.31433913786558715 0.02098119380236711 0.1997073993158651 0.2582479817612667 -1.1011629930387845e-11 9522.996513302483 4.6255238260312325e8 1.1073039911681052e-12
1650 33119.87496141877 19.953100098604097 0.010950299029301601 0.14367431652394666 0.3290055957095943 0.021572719300857388 0.1765111456823135 0.2544343439232089 0.010950299029301601 0.14379511998534134 0.3246353358960738 0.021572719300857388 0.20583475928779707 0.26780511770518606 -1.0842012700352893e-11 9522.996513302329 4.6255238260312545e8 1.1073040378265344e-12
1700 34117.269173122295 19.942946727540576 0.011287143216820436 0.14741893889315955 0.3395590935548401 0.022216279135495683 0.18213947015967047 0.2637713891045888 0.011287143216820436 0.1474828010674933 0.33503517829903273 0.022216279135495683 0.2121976399655062 0.27758861931430123 -9.646310161017452e-12 9522.996513302352 4.625523826031213e8 1.1073041211551632e-12
1750 35098.26507532584 19.93315363353744 0.011598638877393734 0.1510333489850827 0.3499609980864277 0.0228641316992403 0.18763913098447937 0.27297816703235334 0.011598638877393734 0.1511006226598528 0.345286890552672 0.0228641316992403 0.21859651105542513 0.28723112389742533 -1.0684984532117899e-11 9522.996513302322 4.6255238260312456e8 1.1073042172055556e-12
1800 36094.66662408352 19.923074618452873 0.011897582985117994 0.15467253388136476 0.36046858035073426 0.023532720309065554 0.19331549358218933 0.28215686917369515 0.011897582985117994 0.15480693551883548 0.3556385276837995 0.023532720309065554 0.2252367967841455 0.29684447179292206 -9.62038723995899e-12 9522.9965133023 4.6255238260312855e8 1.1073043051524622e-12
