N   M   end_time resolution_km            l2_depth_error           linf_depth_error         l2_height_error          linf_height_error        l2_order linf_order
2   4   5.00000 1.25098612165027248e+03  1.13547911806271369e-03  2.34271872972070848e-03  8.78094741238339858e-04  2.29961746105871714e-03  missing  missing
3   4   5.00000 8.33990747766848358e+02  9.30261134908326578e-05  6.84083013195499858e-04  7.19449880271230897e-05  6.71447037194800663e-04  missing  missing
4   4   5.00000 6.25493060825136240e+02  1.00082077154448823e-05  4.72325837842680151e-05  7.74018258682832385e-06  4.63597577918363555e-05  missing  missing
5   4   5.00000 5.00394448660108992e+02  7.26666262385267934e-07  4.77193384309689046e-06  5.61991706484696776e-07  4.68383670113546173e-06  missing  missing
6   4   5.00000 4.16995373883424179e+02  7.49990022436156384e-08  3.92471948241082192e-07  5.80029917663451648e-08  3.85221333584758905e-07  missing  missing
7   4   5.00000 3.57424606185792129e+02  6.08933245323568660e-09  5.04066967006737918e-08  4.70938931963672945e-09  4.94740985373119967e-08  missing  missing
8   4   5.00000 3.12746530412568120e+02  7.48889088038860611e-10  4.46042817127256235e-09  5.79178473420390973e-10  4.37789628146016892e-09  missing  missing
9   4   5.00000 2.77996915922282767e+02  6.29279670480546106e-11  5.19393535829403073e-10  4.86674524727014804e-11  5.09780116121012606e-10  missing  missing
10  4   5.00000 2.50197224330054496e+02  7.87341370210860676e-12  5.70992351521855418e-11  6.08916792193577769e-12  5.60421782432945864e-11  missing  missing
