N   M   resolution_km            l2_height_error          linf_height_error        l2_height_norm           linf_height_norm         l2_order linf_order
3   8   4.16995373883424179e+02  1.16692445217528231e+02  5.49692625916884936e+02  1.10930218283400227e+04  1.12449782337697379e+04  missing  missing
3   16  2.08497686941712089e+02  1.39195316339311518e+02  8.39926210047624409e+02  1.10930116355002829e+04  1.12449782401331886e+04  -0.25    -0.61    
3   32  1.04248843470856045e+02  1.31736425300521915e+02  7.42457576649769180e+02  1.10930114819582304e+04  1.12449782427065475e+04  0.08     0.18     
