#timestep time dt l2_h l2_h_v1 l2_h_v2 l2_h_v3 l2_b linf_h linf_h_v1 linf_h_v2 linf_h_v3 linf_b l2_H l2_v1 l2_v2 l2_v3 l2_b linf_H linf_v1 linf_v2 linf_v3 linf_b dsdu_ut waterheight e_total 
1700 24817.636115611444 14.607821929478447 4.51310597489032e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 4.501175915090759e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 2.0457402451965106e-24 5942.574955414761 1.7407953877230707e8
1750 25548.02721208542 14.607821929478437 4.563540491867814e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 4.5515028000519e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 2.013869577905618e-24 5942.574955414761 1.7407953877230707e8
1800 26270.58772630751 14.607821929478431 4.614216446104666e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 4.601989450877137e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 2.2093281458364756e-24 5942.574955414761 1.7407953877230707e8
1850 27000.978822781486 14.607821929478423 4.660529815275921e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 4.648264580190739e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 2.1836978889242195e-24 5942.574955414761 1.7407953877230707e8
1900 27731.369919255463 14.607821929478417 4.716895112919819e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 4.704514905905371e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 2.1792404529394792e-24 5942.574955414761 1.7407953877230707e8
1950 28461.76101572944 14.607821929478412 4.777057120059562e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 4.764512972615266e-16 1.0 1.0 1.0 0.0 1.0224185405836522e-14 1.0 1.0 1.0 0.0 2.1587362474096744e-24 5942.574955414761 1.7407953877230707e8
2000 29192.152112203417 14.607821929478405 4.836682065802427e-16 1.0 1.0 1.0 0.0 1.0376785188013186e-14 1.0 1.0 1.0 0.0 4.824010713510618e-16 1.0 1.0 1.0 0.0 1.0376785188013186e-14 1.0 1.0 1.0 0.0 2.432422816872722e-24 5942.574955414761 1.7407953877230707e8
2050 29922.543208677394 14.607821929478405 4.894958941612345e-16 1.0 1.0 1.0 0.0 1.0529384970189851e-14 1.0 1.0 1.0 0.0 4.882248381026072e-16 1.0 1.0 1.0 0.0 1.0529384970189851e-14 1.0 1.0 1.0 0.0 2.2296094795670432e-24 5942.574955414761 1.7407953877230707e8
2100 30652.93430515137 14.607821929478405 4.952562439800291e-16 1.0 1.0 1.0 0.0 1.0529384970189851e-14 1.0 1.0 1.0 0.0 4.939681657741448e-16 1.0 1.0 1.0 0.0 1.0529384970189851e-14 1.0 1.0 1.0 0.0 2.2104425048326604e-24 5942.574955414761 1.7407953877230707e8
2150 31383.32540162535 14.6078219294784 5.009895666546006e-16 1.0 1.0 1.0 0.0 1.0529384970189851e-14 1.0 1.0 1.0 0.0 4.996859772357171e-16 1.0 1.0 1.0 0.0 1.0529384970189851e-14 1.0 1.0 1.0 0.0 2.2982539937320422e-24 5942.574955414761 1.7407953877230707e8
2200 32113.716498099326 14.607821929478394 5.06547571072259e-16 1.0 1.0 1.0 0.0 1.052938497018985e-14 1.0 1.0 1.0 0.0 5.052291401117128e-16 1.0 1.0 1.0 0.0 1.052938497018985e-14 1.0 1.0 1.0 0.0 2.4622876379704814e-24 5942.574955414761 1.7407953877230707e8
2250 32844.1075945733 14.607821929478385 5.121822106541271e-16 1.0 1.0 1.0 0.0 1.052938497018985e-14 1.0 1.0 1.0 0.0 5.108492697615924e-16 1.0 1.0 1.0 0.0 1.052938497018985e-14 1.0 1.0 1.0 0.0 2.3798250722527877e-24 5942.574955414761 1.7407953877230707e8
2300 33574.49869104728 14.60782192947838 5.172839402339952e-16 1.0 1.0 1.0 0.0 1.0529384970189848e-14 1.0 1.0 1.0 0.0 5.159438887548247e-16 1.0 1.0 1.0 0.0 1.0529384970189848e-14 1.0 1.0 1.0 0.0 2.3963175853963263e-24 5942.574955414761 1.7407953877230707e8
2350 34304.88978752126 14.607821929478375 5.22901795413833e-16 1.0 1.0 1.0 0.0 1.0529384970189848e-14 1.0 1.0 1.0 0.0 5.215464484477435e-16 1.0 1.0 1.0 0.0 1.0529384970189848e-14 1.0 1.0 1.0 0.0 2.4400004580467802e-24 5942.574955414761 1.7407953877230707e8
2400 35027.450301743345 14.60782192947837 5.278432058487415e-16 1.0 1.0 1.0 0.0 1.0529384970189848e-14 1.0 1.0 1.0 0.0 5.264666408731408e-16 1.0 1.0 1.0 0.0 1.0529384970189848e-14 1.0 1.0 1.0 0.0 2.4988386130453507e-24 5942.574955414761 1.7407953877230707e8
2450 35757.84139821732 14.60782192947836 5.326902096292819e-16 1.0 1.0 1.0 0.0 1.0529384970189846e-14 1.0 1.0 1.0 0.0 5.312974924679836e-16 1.0 1.0 1.0 0.0 1.0529384970189846e-14 1.0 1.0 1.0 0.0 2.6067085638760633e-24 5942.574955414761 1.7407953877230707e8
2500 36488.2324946913 14.607821929478352 5.380547665745002e-16 1.0 1.0 1.0 0.0 1.0529384970189843e-14 1.0 1.0 1.0 0.0 5.366512298122812e-16 1.0 1.0 1.0 0.0 1.0529384970189843e-14 1.0 1.0 1.0 0.0 2.646825487738725e-24 5942.574955414761 1.7407953877230707e8
2550 37218.62359116528 14.607821929478348 5.426769615833667e-16 1.0 1.0 1.0 0.0 1.052938497018984e-14 1.0 1.0 1.0 0.0 5.412640581020269e-16 1.0 1.0 1.0 0.0 1.052938497018984e-14 1.0 1.0 1.0 0.0 2.636573384973823e-24 5942.574955414761 1.7407953877230707e8
2600 37949.014687639254 14.607821929478341 5.476518998110024e-16 1.0 1.0 1.0 0.0 1.0529384970189838e-14 1.0 1.0 1.0 0.0 5.462297958161306e-16 1.0 1.0 1.0 0.0 1.0529384970189838e-14 1.0 1.0 1.0 0.0 2.6717871292532702e-24 5942.574955414761 1.7407953877230707e8
2650 38679.40578411323 14.607821929478328 5.527656264452374e-16 1.0 1.0 1.0 0.0 1.0529384970189838e-14 1.0 1.0 1.0 0.0 5.513328726252527e-16 1.0 1.0 1.0 0.0 1.0529384970189838e-14 1.0 1.0 1.0 0.0 2.734191233039633e-24 5942.574955414761 1.7407953877230707e8
2700 39409.79688058721 14.607821929478323 5.579465086345628e-16 1.0 1.0 1.0 0.0 1.0529384970189838e-14 1.0 1.0 1.0 0.0 5.564928136368745e-16 1.0 1.0 1.0 0.0 1.0529384970189838e-14 1.0 1.0 1.0 0.0 2.6994232323586596e-24 5942.574955414761 1.7407953877230707e8
2750 40140.187977061185 14.607821929478314 5.633030240443659e-16 1.0 1.0 1.0 0.0 1.0529384970189838e-14 1.0 1.0 1.0 0.0 5.618379850956868e-16 1.0 1.0 1.0 0.0 1.0529384970189838e-14 1.0 1.0 1.0 0.0 2.735082720236581e-24 5942.574955414761 1.7407953877230707e8
2800 40870.57907353516 14.607821929478309 5.685814945293667e-16 1.0 1.0 1.0 0.0 1.0529384970189837e-14 1.0 1.0 1.0 0.0 5.67100489532449e-16 1.0 1.0 1.0 0.0 1.0529384970189837e-14 1.0 1.0 1.0 0.0 2.737757181827425e-24 5942.574955414761 1.7407953877230707e8
2850 41600.97017000914 14.6078219294783 5.732796204300103e-16 1.0 1.0 1.0 0.0 1.0529384970189837e-14 1.0 1.0 1.0 0.0 5.717879370763688e-16 1.0 1.0 1.0 0.0 1.0529384970189837e-14 1.0 1.0 1.0 0.0 2.80818467038632e-24 5942.574955414761 1.7407953877230707e8
2900 42331.361266483116 14.607821929478295 5.77994251767667e-16 1.0 1.0 1.0 0.0 1.0529384970189835e-14 1.0 1.0 1.0 0.0 5.764990906842251e-16 1.0 1.0 1.0 0.0 1.0529384970189835e-14 1.0 1.0 1.0 0.0 2.8830695949299554e-24 5942.574955414761 1.7407953877230707e8
2950 43061.75236295709 14.60782192947829 5.831050165358143e-16 1.0 1.0 1.0 0.0 1.0529384970189835e-14 1.0 1.0 1.0 0.0 5.815965576073249e-16 1.0 1.0 1.0 0.0 1.0529384970189835e-14 1.0 1.0 1.0 0.0 2.855433491824566e-24 5942.574955414761 1.7407953877230707e8
3000 43784.31287717918 14.60782192947828 5.886283172166597e-16 1.0 1.0 1.0 0.0 1.0529384970189834e-14 1.0 1.0 1.0 0.0 5.871066919959583e-16 1.0 1.0 1.0 0.0 1.0529384970189834e-14 1.0 1.0 1.0 0.0 2.947702416708688e-24 5942.574955414761 1.7407953877230707e8
