N   M   resolution_km            l2_height_normalized     order
4   4   1.25098612165027248e+03  1.00082078245703494e-05  missing
4   8   6.25493060825136240e+02  2.20688160096461113e-07  5.50
4   16  3.12746530412568120e+02  7.00098429049330594e-09  4.98
4   32  1.56373265206284060e+02  2.21664104744855363e-10  4.98
4   64  7.81866326031420300e+01  6.97794525650350749e-12  4.99
