#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 4.530484857397773e-12 7.387780849070634e8 1.0400221015659747e8
200 829.5117445984987 4.1447316982227225 9.452495801831999e-6 1.9993937038789404e-8 3.369164235571067e-8 8.080682641775638e-5 2.0593124006040853e-7 1.9565620590356048e-7 -2.370970278534974e-11 7.387780849071293e8 1.0400221015658878e8
400 1657.9252119462449 4.139525386163398 9.261023136518553e-6 2.490327268561787e-8 3.52852030584894e-8 7.305167878257635e-5 3.5011494059489223e-7 2.8441528565625873e-7 -6.539730960438023e-12 7.387780849071593e8 1.0400221015659048e8
600 2485.3430680340653 4.134703643716836 9.370353588812023e-6 2.9068459074444508e-8 3.668598914195891e-8 7.048792281239002e-5 4.458741846846692e-7 3.7445397793600677e-7 -1.1739281776628041e-11 7.3877808490713e8 1.0400221015659255e8
800 3311.8374791265182 4.130361678467572 9.275787658988299e-6 3.1890598545686175e-8 3.7547357475454274e-8 7.283456625373219e-5 4.791456031938424e-7 4.216053225425398e-7 -1.2081625429936282e-11 7.387780849071338e8 1.0400221015659091e8
1000 4137.5239105702185 4.126622822672579 9.317644015883378e-6 3.371681016868181e-8 3.781401495050444e-8 7.602950836371747e-5 4.784771254762177e-7 4.3390772130891264e-7 -1.33185145493138e-11 7.387780849070966e8 1.040022101565903e8
1200 4962.524128086296 4.123498177593168 9.309515551913028e-6 3.526449457688435e-8 3.775592056018817e-8 7.373022958745423e-5 4.7373611167245144e-7 4.301846263654596e-7 -1.642956576528987e-11 7.387780849071522e8 1.040022101565938e8
1400 5786.945458271699 4.1207620837047925 9.313535212842541e-6 3.70051667253977e-8 3.768509043193274e-8 7.722970758550218e-5 4.773676609559629e-7 4.286670096664835e-7 -1.528008057278804e-11 7.387780849071411e8 1.0400221015659536e8
1600 6610.865182282178 4.118551185452526 9.326165662759259e-6 3.901554195899242e-8 3.78615648680282e-8 7.667242721254297e-5 4.977508218928506e-7 4.464226015521433e-7 -1.8970085466285955e-11 7.387780849071634e8 1.0400221015658654e8
1800 7434.406238214048 4.116973225582433 9.329405622122072e-6 4.109729077474208e-8 3.826293050937823e-8 7.770813499519136e-5 5.220383050286159e-7 4.6833141742474993e-7 -1.7868190254350388e-11 7.387780849071364e8 1.0400221015658978e8
2000 8257.69575214461 4.11603327988294 9.33840170434363e-6 4.3046836567917223e-8 3.872071177148646e-8 7.887519109317509e-5 5.790018242635142e-7 4.802262818515146e-7 -2.006435038178897e-11 7.387780849071327e8 1.0400221015659225e8
