N   M   resolution_km            l2_height_error          linf_height_error        l2_height_norm           linf_height_norm         l2_order linf_order
3   8   4.16995373883424179e+02  1.53636555035783090e+02  1.30136551513850463e+03  1.10926957148906567e+04  1.12449782326887744e+04  missing  missing
3   16  2.08497686941712089e+02  1.11703526242341368e+02  1.05333224416213852e+03  1.10926878018106636e+04  1.12449782327191388e+04  0.46     0.31     
3   32  1.04248843470856045e+02  1.04944272185909199e+02  6.63081707892046325e+02  1.10926877948809306e+04  1.12449782427065475e+04  0.09     0.67     
3   64  5.21244217354280224e+01  6.78214862582533016e+01  3.82611537609645893e+02  1.10926877950407052e+04  1.12449782447915150e+04  0.63     0.79     
