#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy 
950 12489.88030401983 13.138173827848977 6.869909112948146e-9 1.2357591786703532e-7 1.2180050268167005e-7 2.908471147385244e-8 7.194907456189606e-7 3.5944747584534053e-7 5.313074438074699e-9 1.7172037706623668e-7 1.959514230219521e-7 2.8546378820458176e-8 9.405288381141158e-7 9.758118412224617e-7 -1.707419359682844e-10 9507.350780127917 7.387780849075216e8
1000 13146.799404212908 13.13879551134867 6.8780859856622755e-9 1.2720909466878787e-7 1.251617868586102e-7 2.993945311470649e-8 7.320941294914671e-7 3.667378632085982e-7 5.319398296625989e-9 1.742358150777332e-7 2.0590920247237496e-7 2.93853801797642e-8 9.288297048891676e-7 1.0218739630535744e-6 -1.7310686121416598e-10 9507.350780128001 7.387780849075242e8
1050 13803.782892932391 13.140722661597835 6.8716059999318755e-9 1.3057753592567956e-7 1.284886679324908e-7 3.013609853874164e-8 7.45190952692228e-7 3.7192517073559763e-7 5.3143867827868005e-9 1.764564080940132e-7 2.15885318530844e-7 2.9578206172014195e-8 9.073553948019252e-7 1.0769699014270638e-6 -1.7352115675606653e-10 9507.350780128018 7.387780849075155e8
1100 14460.89593301181 13.143950584576144 6.880871404061101e-9 1.337396171947169e-7 1.316457739263594e-7 2.9931054375682236e-8 7.535968050044795e-7 3.738118608090482e-7 5.321552493634862e-9 1.7842940257735356e-7 2.2566286992276325e-7 2.937742341857421e-8 8.916139987982761e-7 1.1308228434393145e-6 -1.7301052205102888e-10 9507.350780127816 7.387780849075303e8
1150 15118.176091562558 13.14652075420768 6.8893096305494045e-9 1.367054751206503e-7 1.3475414832134535e-7 3.107277272881651e-8 7.61741441565542e-7 3.724989710420984e-7 5.328078478757727e-9 1.8018902915446016e-7 2.352765905686025e-7 3.049782043436793e-8 8.788876516627704e-7 1.1896772691332512e-6 -1.73831717598341e-10 9507.350780127994 7.387780849075243e8
1200 15775.553150382884 13.14873721227017 6.891641810074347e-9 1.3941064923324378e-7 1.3779784889176008e-7 3.083056798076351e-8 7.67948324558283e-7 3.671350011959912e-7 5.329882147713996e-9 1.817344418413247e-7 2.446564886314721e-7 3.0259867927298095e-8 8.765965858633045e-7 1.2410408979295527e-6 -1.778069505585076e-10 9507.350780127987 7.387780849075183e8
1250 16433.074635632132 13.152270222650095 6.904127499627762e-9 1.4195914991902463e-7 1.4069969241535968e-7 3.045088154153632e-8 7.746056929250959e-7 3.580950798309881e-7 5.339538374275035e-9 1.8312960777572106e-7 2.5368657592718027e-7 2.988737156475915e-8 8.650651951004774e-7 1.2798623814731349e-6 -1.7417357019415222e-10 9507.350780127814 7.387780849075263e8
1300 17090.80616417232 13.157111173332837 6.907254106141901e-9 1.4430447523490645e-7 1.4346378012100153e-7 3.0091749056142494e-8 7.812943942227844e-7 3.470242935422576e-7 5.341956440276145e-9 1.8438720528600022e-7 2.622960354380806e-7 2.953540647429242e-8 8.467874981268894e-7 1.3090435244845242e-6 -1.757213413054911e-10 9507.350780128003 7.387780849075146e8
1350 17740.633778994194 13.163165142068635 6.914478217103724e-9 1.464229656388635e-7 1.461025775334553e-7 3.119307300187486e-8 7.848841986744124e-7 3.525238980787002e-7 5.347543448267147e-9 1.8553104315182747e-7 2.703363895180519e-7 3.061611886521406e-8 8.441107182602799e-7 1.3406392955054587e-6 -1.7329760594172056e-10 9507.350780127974 7.387780849075255e8
1400 18398.975585081473 13.170571794128705 6.922277575396638e-9 1.48447363385523e-7 1.48715464361885e-7 3.123620252247367e-8 7.877687020266307e-7 3.61814643243224e-7 5.353575343380406e-9 1.8663740609558764e-7 2.7791334998563115e-7 3.065816262775682e-8 8.385060518330997e-7 1.3788491492070071e-6 -1.750867217617613e-10 9507.350780127934 7.387780849075251e8
1450 19057.720165611365 13.179248066896484 6.9333672732337105e-9 1.503172863899151e-7 1.5097120032049352e-7 3.1099082581790296e-8 7.884384960005918e-7 3.711004501741052e-7 5.362151933111887e-9 1.8768763861512527e-7 2.847169756647621e-7 3.05233754572195e-8 8.316820445924966e-7 1.4200694737844288e-6 -1.7437919693125823e-10 9507.350780127917 7.38778084907511e8
1500 19716.930576388248 13.189176941729986 6.937558047606607e-9 1.5204475401415473e-7 1.5332764936609426e-7 3.050854332091857e-8 7.87002904706604e-7 3.7963869900271e-7 5.365393008659601e-9 1.8869477719115963e-7 2.908975925379723e-7 2.99438273961049e-8 8.20394425381668e-7 1.4622295835740516e-6 -1.7715016642153389e-10 9507.35078012796 7.387780849075258e8
1550 20376.668968725575 13.200339299348432 6.953725607031936e-9 1.5367147477922642e-7 1.5540894784760833e-7 3.101886441340235e-8 7.858702434767953e-7 3.9487259100746587e-7 5.3778967328185145e-9 1.8966641977993146e-7 2.962062106540741e-7 3.044461370690632e-8 7.961216496345062e-7 1.5066386439137683e-6 -1.7642058229276668e-10 9507.35078012798 7.387780849075189e8
1600 21036.99648437231 13.212713917945564 6.94959036525276e-9 1.5521738600148078e-7 1.5737923159823368e-7 3.118466098230032e-8 7.825210681239343e-7 4.1137158588266385e-7 5.374698604705149e-9 1.906227229174703e-7 3.006348610580015e-7 3.060741985970743e-8 7.693351036992973e-7 1.556837195034002e-6 -1.7676737130867546e-10 9507.35078012803 7.387780849075234e8
1650 21697.93742442269 13.220250347002366 6.962025405225088e-9 1.5663775229682917e-7 1.5913477751216987e-7 3.14033472908488e-8 7.783199746497754e-7 4.3701130801679095e-7 5.384315659704666e-9 1.9155896704914209e-7 3.0422231257540894e-7 3.0822005163600226e-8 7.4485283031684e-7 1.5973628256977555e-6 -1.7563885226110358e-10 9507.350780127985 7.387780849075227e8
1700 22358.61219115306 13.207199184198144 6.955131124319628e-9 1.5803329446865084e-7 1.6102359104680738e-7 3.167732143046826e-8 7.706612118949845e-7 4.4460743363649826e-7 5.3789837366448716e-9 1.9253532435739457e-7 3.070485657390307e-7 3.1090938811832035e-8 7.203877853078109e-7 1.598544029961831e-6 -1.7623751548369234e-10 9507.350780127867 7.387780849075214e8
1750 23018.664886163024 13.195347398927519 6.9615578062348e-9 1.5937488807354795e-7 1.6241278501047825e-7 3.200396236424837e-8 7.619842052771921e-7 4.5057418449783094e-7 5.383954026345773e-9 1.9354788374098856e-7 3.088689010218855e-7 3.141148677157864e-8 7.031049184072973e-7 1.604083821133333e-6 -1.7704703477497384e-10 9507.350780127954 7.387780849075222e8
1800 23678.15605849204 13.184717399628006 6.955978222795974e-9 1.606632817769657e-7 1.639175159150919e-7 3.218227221484136e-8 7.523162606642353e-7 4.5261283194154486e-7 5.3796388686509275e-9 1.9460329488794527e-7 3.100316002992341e-7 3.1586510532119524e-8 6.90849273484641e-7 1.612716942778044e-6 -1.783434772990734e-10 9507.350780127956 7.387780849075252e8
1850 24337.147324012465 13.175329492056912 6.959314157841062e-9 1.619470325900972e-7 1.6530469278196377e-7 3.2253410660434854e-8 7.415702976011255e-7 4.522022423574347e-7 5.382218825623149e-9 1.9573033789975254e-7 3.1044108557593945e-7 3.1656398323842696e-8 6.722315909152253e-7 1.6182256201867945e-6 -1.7806225833875554e-10 9507.350780127983 7.3877808490753e8
1900 24995.701260166883 13.167201876486315 6.955392540344112e-9 1.6324659140907478e-7 1.6639058200740428e-7 3.22571669651186e-8 7.304976940356158e-7 4.5030070300604777e-7 5.379185911518807e-9 1.9693482315135868e-7 3.099893039662338e-7 3.166029159266136e-8 6.561228748668271e-7 1.6248480526427779e-6 -1.775202323285639e-10 9507.350780127927 7.387780849075284e8
1950 25653.881300900557 13.160350654997178 6.948021424865854e-9 1.6451864419714316e-7 1.6747195610286297e-7 3.2147818816021634e-8 7.192658399558047e-7 4.4472594544869357e-7 5.373485212200019e-9 1.98209989339494e-7 3.089337200642497e-7 3.155340216676339e-8 6.843872339942091e-7 1.6335855518775409e-6 -1.774873745515097e-10 9507.35078012803 7.387780849075314e8
2000 26301.533174679043 13.154866287331433 6.9501207765947416e-9 1.6580918484293607e-7 1.684400326131055e-7 3.19659650045597e-8 7.104833904457549e-7 4.374321456347756e-7 5.375108816754268e-9 1.9958230342822463e-7 3.0733970720655644e-7 3.137479025886918e-8 7.130916134498305e-7 1.6423422488678472e-6 -1.795675338320954e-10 9507.350780127947 7.387780849075216e8
