N   M   resolution               l2_height_normalized     order
3   4   1.66798149553369661e+06  6.47684095995010702e-04  missing
3   8   8.33990747766848304e+05  4.43064183731348005e-05  3.87
3   16  4.16995373883424152e+05  6.52673546649844101e-06  2.76
3   32  2.08497686941712076e+05  8.03133805491888554e-07  3.02
