N   M   resolution_km            l2_height_error          linf_height_error        l2_height_norm           linf_height_norm         l2_order linf_order
3   4   8.33990747766848358e+02  6.60517502643268806e+00  4.67664459952356992e+01  1.01981652548525708e+04  1.36323185305143907e+04  missing  missing
3   8   4.16995373883424179e+02  4.51841653650409625e-01  3.29593631379066210e+00  1.01981476499645432e+04  1.36323492813813518e+04  3.87     3.83     
