#timestep time dt l2_h l2_h_v1 l2_h_v2 l2_h_v3 l2_b linf_h linf_h_v1 linf_h_v2 linf_h_v3 linf_b l2_H l2_v1 l2_v2 l2_v3 l2_b linf_H linf_v1 linf_v2 linf_v3 linf_b dsdu_ut waterheight e_total 
500 7240.082575254849 14.480006872236658 0.0010711056796363092 0.02520330437491385 0.009902071123333625 1.0 0.0 0.008170822459320718 0.16645070823861843 0.06394168383873668 1.0 0.0 0.0010680451757512158 0.029947982754683657 0.010763902690820183 1.0 0.0 0.008170822459320718 0.23768309063340964 0.06950093505584373 1.0 0.0 -8.528068348517832e-6 5619.927855768578 1.569075119418239e8
550 7964.092056244493 14.480201300004282 0.0010463441027206632 0.026934275142849694 0.010876545020043168 1.0 0.0 0.007787908718671978 0.17923268264892053 0.06879368414063387 1.0 0.0 0.0010433545610086777 0.03193018191993271 0.011837485512456229 1.0 0.0 0.007787908718671978 0.25263308294664993 0.07474015295803109 1.0 0.0 -7.75591648631136e-6 5619.9278557685975 1.5690751193612993e8
600 8683.440605411464 14.480201814584769 0.0010240938002575547 0.02817534144915021 0.011745426793730914 1.0 0.0 0.0073408653031398 0.18188518532918121 0.07241252514730101 1.0 0.0 0.001021168096925822 0.033262666765237266 0.01280434672784481 1.0 0.0 0.0073408653031398 0.25802853387660213 0.07845541069179698 1.0 0.0 -1.0148527473414619e-5 5619.9278557685875 1.5690751192972183e8
650 9407.450710209065 14.480202372572151 0.0010067063303010294 0.02898378485018102 0.012522994841471 1.0 0.0 0.0068635795502911354 0.17604589951376137 0.07395189691818753 1.0 0.0 0.0010038305895074982 0.03401598949524674 0.013682861830062865 1.0 0.0 0.0068635795502911354 0.2548483767998882 0.08001200336817599 1.0 0.0 -8.370154627603564e-6 5619.927855768563 1.5690751192261723e8
700 10131.460843890563 14.480202968967724 0.0009916852342147116 0.029436352719334043 0.013216389511966723 1.0 0.0 0.006410380899804809 0.16297365674506092 0.07302775042935687 1.0 0.0 0.0009888526665858964 0.03430972693772907 0.014483495331690292 1.0 0.0 0.006410380899804809 0.24200479894451501 0.0789051583331135 1.0 0.0 -6.6142114327184695e-6 5619.927855768603 1.5690751191761935e8
750 10855.471008289427 14.480203599619262 0.0009757413364006714 0.02961560384957891 0.01384429496804128 1.0 0.0 0.005982056147194845 0.14909895889879288 0.07066007059765893 1.0 0.0 0.0009729545156806973 0.034270575531025346 0.015227452911614094 1.0 0.0 0.005982056147194845 0.22585897880404396 0.0811425362377429 1.0 0.0 -9.33629311013089e-6 5619.9278557685775 1.5690751191178137e8
800 11579.481204997806 14.480204260288145 0.0009585031965848635 0.02957881583078128 0.014422514254366458 1.0 0.0 0.00567352691445832 0.13687740389206396 0.06810076020285623 1.0 0.0 0.00095576574418351 0.033983315313881345 0.015928422861353122 1.0 0.0 0.00567352691445832 0.21054639735709288 0.08886960757976925 1.0 0.0 -7.67383564631596e-6 5619.92785576858 1.5690751190531528e8
850 12303.491435443471 14.480204947965342 0.0009406739125627361 0.029374722934409535 0.01496264294319935 1.0 0.0 0.005364655255152703 0.12939744754970411 0.06586507598138515 1.0 0.0 0.0009379874403449917 0.03351850254941591 0.016594349002806798 1.0 0.0 0.005364655255152703 0.20038827935802356 0.09542536812994135 1.0 0.0 -5.425554684390256e-6 5619.9278557685775 1.5690751190083355e8
900 13027.501700879226 14.480205658802758 0.0009233659971880674 0.02904673604537757 0.015473009856391627 1.0 0.0 0.005195720405195024 0.12619322554554632 0.06882974807053421 1.0 0.0 0.0009207289410688751 0.03293574903187652 0.017230373633541334 1.0 0.0 0.005195720405195024 0.19633552132600282 0.10135235120881544 1.0 0.0 -7.223224887387513e-6 5619.927855768578 1.5690751189632377e8
950 13751.512002372801 14.480206389342413 0.0009077719711456123 0.028635475805232614 0.015959754988682254 1.0 0.0 0.005058177491451579 0.12300654048554056 0.07301703515131887 1.0 0.0 0.0009051793630255561 0.03228707084514289 0.01784026756146102 1.0 0.0 0.005058177491451579 0.19195762158216337 0.10731587377525904 1.0 0.0 -6.71735025000328e-6 5619.927855768578 1.5690751189105132e8
1000 14475.522340826705 14.48020713634699 0.0008949441515280823 0.028180721519501222 0.016427816651598745 1.0 0.0 0.00488935203340675 0.12007580033654881 0.07705490946713472 1.0 0.0 0.0008923880207324117 0.03161987630834995 0.018427606867310604 1.0 0.0 0.00488935203340675 0.1877387111792824 0.11330274018399943 1.0 0.0 -5.259115438211112e-6 5619.9278557685775 1.569075118868276e8
1050 15199.532716982356 14.48020789662828 0.0008856675955239038 0.02772180710074147 0.01688152686269446 1.0 0.0 0.004782829148263905 0.11779401222483989 0.08143296621914198 1.0 0.0 0.0008831377332119263 0.030977447829482162 0.018996440118467805 1.0 0.0 0.004782829148263905 0.18439796346307413 0.11915890823094565 1.0 0.0 -5.626954415840393e-6 5619.927855768582 1.5690751188293314e8
