#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy mass h_squared 
650 52237.06926775395 80.30996033119233 9.813002944580846 0.014713189084897821 0.01974893222230963 78.28312077351256 0.13480019104887198 0.20648568090859556 -4.667179942057654e-6 1.5690751177841625e8 5619.9279796692845 3.1681084010542344e7
700 56251.815524339334 80.28046681863904 10.250539911480299 0.015627264022106603 0.02117678110922811 84.23319629580965 0.14336636979190115 0.2184786111407281 -4.7091436694098355e-6 1.5690751175967324e8 5619.927979669338 3.1681050905551825e7
750 60265.08749601346 80.25105231229232 10.696536324651776 0.016556214232674796 0.022567463435529247 90.1197527605218 0.15230395209383402 0.22971454635678143 -4.666855329924137e-6 1.569075117410346e8 5619.927979669415 3.168100070035656e7
800 64251.0703205551 80.22224542788548 11.154067666040818 0.017508872778346576 0.02393807453675597 95.68462967137384 0.1618333388248894 0.24012400785471816 -4.8124134361263035e-6 1.5690751172212037e8 5619.927979669351 3.168094087205147e7
850 68261.45416749436 80.19375632498965 11.626951167056445 0.018479749185754235 0.025267519886474254 101.05272653006159 0.17162499552425106 0.24986188729304723 -4.680942267699161e-6 1.569075117031796e8 5619.927979669278 3.168087921900963e7
900 72270.35917565924 80.16570145791367 12.101306474469746 0.019457907621284447 0.026588957755059907 106.80932619323721 0.18079417123715316 0.2588874395750671 -4.6713027061493945e-6 1.5690751168462548e8 5619.927979669364 3.1680823941738114e7
950 76277.93649796581 80.13800085924086 12.53630171547874 0.020474450034653462 0.02789906203516228 112.61527289248261 0.18930967422093023 0.2672266634488377 -4.805779333578205e-6 1.5690751166595873e8 5619.927979669343 3.168077944349556e7
1000 80284.13685639577 80.11061609200186 13.11322379765314 0.021398275753870755 0.029199627928777352 118.30567442312622 0.1971639928100529 0.2749048301997399 -5.146392785863473e-6 1.5690751164661905e8 5619.927979669344 3.168075187654179e7
1050 84288.97688194258 80.08359013968725 13.754724165652233 0.02223226558616147 0.030516420734624503 123.82939086406896 0.2043770393198015 0.2825246599288168 -5.382303205016192e-6 1.5690751162588924e8 5619.927979669322 3.1680737122990802e7
1100 88292.47664800017 80.05700850259123 13.384137382927864 0.023690590065618328 0.03184704643677263 129.40689198155724 0.21099512189577344 0.2907594644548954 -5.679340496163509e-6 1.569075116039182e8 5619.927979669321 3.1680700069958877e7
1150 92294.65975344442 80.03091559117448 14.634158387562273 0.024228741215851925 0.033064177929617106 134.68659318788923 0.21769470553986348 0.29842156581793083 -5.736766829965733e-6 1.569075115811423e8 5619.927979669291 3.168070659856653e7
1200 96295.54937016357 80.00523772009187 14.789919518557651 0.025309671540501687 0.034404933514120356 139.59076621933582 0.22597290000331186 0.30556104282155944 -6.135964921769419e-6 1.5690751155726358e8 5619.92797966929 3.1680675286877237e7
1250 100295.16104698511 79.9797421082753 15.130957035720785 0.026338907671256274 0.03563787432888447 144.38850237877705 0.2338802962228254 0.3200420597602671 -6.548273841716378e-6 1.5690751153154835e8 5619.927979669324 3.168063860005258e7
1300 104293.49505539327 79.95406361610345 15.582664856570236 0.027301301040463435 0.036852007683255424 149.09485182127537 0.24153872159623652 0.3360000937297897 -7.025652425959885e-6 1.5690751150419027e8 5619.927979669295 3.168059405440387e7
1350 108290.53063246085 79.92773947059753 15.991723809245855 0.028249241914364922 0.038068431468706324 153.45036266276747 0.24953555816247033 0.35161345604692007 -7.421634517213526e-6 1.5690751147522286e8 5619.9279796693345 3.168053949397122e7
1400 112286.2224920725 79.90025419298067 16.3469179665403 0.02923128983982909 0.039272074682357896 157.6067715406134 0.257929892360857 0.3666143526197289 -7.717145082934926e-6 1.5690751144489524e8 5619.927979669313 3.1680479281703196e7
1450 116280.49846354633 79.87104191012438 16.686388897041642 0.030220156487557468 0.040463366678242615 161.5003276001953 0.2662262836092219 0.3822260003972745 -7.841676458808571e-6 1.5690751141376844e8 5619.927979669296 3.1680420653171483e7
1500 120273.25622017345 79.83945812653339 17.034031401688733 0.03117634415490607 0.04166444171650509 165.16713372548384 0.27438451012406695 0.3974311598770934 -7.793712296408317e-6 1.5690751138250497e8 5619.927979669286 3.1680370312282894e7
1550 124232.58888719048 79.80506393353946 17.387649507115512 0.03209324266978927 0.04285656049571286 168.67948264870392 0.28229591626898665 0.4114121214745513 -7.558098370683281e-6 1.5690751135207915e8 5619.92797966931 3.1680332996763557e7
1600 128221.87737347899 79.76655664996301 17.744038803382207 0.03300309404676186 0.044044761290154597 172.43289354092485 0.2900600895616664 0.42676497254507373 -7.47263168363267e-6 1.569075113221735e8 5619.927979669292 3.168031006349066e7
1650 132209.12836131465 79.72356855551502 18.101354880439843 0.033897041132580304 0.04519553432073492 175.9689154241605 0.2976182632685582 0.4414333893949044 -7.529808627709639e-6 1.5690751129226765e8 5619.927979669349 3.1680302373270843e7
1700 136194.10800028546 79.67577855343781 18.483376711635646 0.03476313451988301 0.04631494402078119 179.29540930076928 0.30501056836594914 0.4545422292164091 -7.589892657927072e-6 1.5690751126211768e8 5619.927979669262 3.168031173896408e7
1750 140176.57749421496 79.62331834714325 18.936549519748368 0.03557265865116972 0.047427049299558086 182.45261064067836 0.3123070209788309 0.46586628087068116 -7.681276369275128e-6 1.5690751123163316e8 5619.927979669308 3.1680347623956017e7
1800 144156.31733147035 79.56682304328717 19.527258443584405 0.036211659459135834 0.048520772743397854 185.56093566449908 0.31960193947861604 0.4764212577110838 -7.702162961502516e-6 1.5690751120113462e8 5619.927979669301 3.1680453096353713e7
1850 148133.1534849492 79.50740613781215 20.34413852993087 0.03663863910686235 0.04960636363115309 188.9181681583368 0.3271862942315676 0.4907020816192643 -7.4672276464388765e-6 1.5690751117113543e8 5619.927979669322 3.168062683129014e7
1900 152107.04694150592 79.45019574168532 21.34866992446279 0.03730645828558827 0.05067849539315523 193.30843526981607 0.3384975654026267 0.5032279490201107 -7.455690930978926e-6 1.569075111409136e8 5619.927979669302 3.1680552734418496e7
1950 156077.30577467452 79.36433573224821 22.02308095796883 0.038524200134460965 0.05170842726346894 202.12234559129593 0.35137355274481463 0.5145886652397472 -7.709101687838275e-6 1.5690751111032987e8 5619.927979669243 3.168003842997099e7
2000 160044.93282279102 79.35177811202121 21.691766012385433 0.03966846398606823 0.05276097834593327 213.36111711102058 0.3631667376793623 0.5201506857709655 -8.31013239298709e-6 1.5690751107887575e8 5619.927979669309 3.1679691260625105e7
2050 164013.3469427453 79.39292111330798 20.664395324297683 0.04052885414340077 0.05384514584483313 191.74918251618146 0.36458325044098494 0.5338667010012977 -8.512807843212229e-6 1.5690751104791248e8 5619.927979669334 3.1679967000045326e7
