N   M   end_time resolution_km            l2_height_error          linf_height_error        l2_order linf_order
3   32  12.00000 1.04248843470856045e+02  9.45600614652596788e-03  6.04619278919198699e-02  missing  missing
3   64  12.00000 5.21244217354280224e+01  6.11407149517818362e-03  3.40251015074406193e-02  0.63     0.83     
