N   M   resolution               l2_height_normalized     order
3   4   1.66798149553369661e+06  1.57791321145718614e-04  missing
3   8   8.33990747766848304e+05  4.12549028190885061e-06  5.26
3   16  4.16995373883424152e+05  2.35747204250903281e-07  4.13
3   32  2.08497686941712076e+05  1.46059925142222816e-08  4.01
