#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
3000 39475.034709046304 13.165205281522319 8.166802918130815e-5 1.387612791341605e-7 1.1560365060991766e-7 0.0005931501036684494 4.380649446578122e-6 8.70506045536068e-6 1.5705779082367285e-11 7.38778084907524e8 1.040022101564742e8
3200 42111.626570595756 13.203844127389614 8.494215918421884e-5 1.453263871393378e-7 1.186586939662097e-7 0.0008099496867544076 3.6821531657071915e-6 7.336111236821985e-6 1.1820908359394591e-11 7.387780849075336e8 1.0400221015647382e8
3400 44745.09982982902 13.192241597014622 8.678582836602747e-5 1.5172910728354045e-7 1.204767663070528e-7 0.0006652000988651707 3.7489637286780564e-6 7.349394553157751e-6 1.2377222898342514e-11 7.387780849075271e8 1.0400221015647654e8
3600 47379.836058939 13.15866011229561 8.763906610668734e-5 1.5950574771046086e-7 1.2327832664165604e-7 0.0006056213196643512 2.617243198721475e-6 7.626913957503589e-6 1.1138082859466865e-11 7.387780849075295e8 1.040022101564765e8
3800 50009.91573779983 13.145058275410817 8.703758047353397e-5 1.6794109584909863e-7 1.2449329393248336e-7 0.0006924642807462078 3.998781427094755e-6 5.924285269187646e-6 1.1770035568526937e-11 7.387780849075335e8 1.0400221015648077e8
4000 52637.924960854005 13.138542936113755 8.656154702479536e-5 1.7522883136408852e-7 1.253326307536549e-7 0.0006323611160041764 4.050925542120609e-6 6.770547215650957e-6 1.2507270813415868e-11 7.38778084907532e8 1.0400221015648255e8
4200 55265.94638665454 13.13833142157748 8.772698387806049e-5 1.813523669522684e-7 1.2696926165532538e-7 0.0005967966935713775 4.29245181399196e-6 8.226386376208872e-6 8.785166027415757e-12 7.387780849075242e8 1.0400221015648603e8
4400 57894.05559656503 13.145938619957997 8.914675657847277e-5 1.873679546961851e-7 1.2956116183181087e-7 0.0005984396411804482 3.832111543422556e-6 9.408946108957483e-6 1.1299630246355254e-11 7.387780849075263e8 1.040022101564908e8
4600 60524.329194123005 13.1602233591084 9.005309971208879e-5 1.9343583520991583e-7 1.317353715659667e-7 0.0007027897372609004 3.510371731518802e-6 8.161716428034538e-6 1.1205402726176313e-11 7.387780849075258e8 1.0400221015649056e8
4800 63159.544598776694 13.19511579390422 9.201121152502659e-5 2.0037047629477418e-7 1.3326668260388606e-7 0.0006547444299940253 3.800706708689816e-6 5.703522051203613e-6 8.059107366017037e-12 7.387780849075303e8 1.0400221015649097e8
5000 65801.54041703058 13.200583193860318 9.438550693458154e-5 2.0470439439393944e-7 1.363829572801718e-7 0.0008076145986706251 5.603081065563842e-6 6.389198764555903e-6 9.141683342229205e-12 7.387780849075347e8 1.0400221015649049e8
5200 68437.57687554687 13.163305334575185 9.738854764404242e-5 2.0832909601209305e-7 1.4125478727216894e-7 0.0006872368630865822 4.965645772792016e-6 7.22896638571946e-6 1.1489946614787539e-11 7.387780849075242e8 1.040022101564879e8
5400 71068.20382936497 13.14653384006505 0.00010027304652862632 2.103631682179043e-7 1.4604935162355992e-7 0.0008310554194395081 5.085932011983374e-6 4.7111059827964485e-6 1.1495558358596322e-11 7.387780849075279e8 1.0400221015648393e8
5600 73696.49475282057 13.13817417377791 0.00010393099114121679 2.1182232833340355e-7 1.5156845058679622e-7 0.000774225029090303 4.185901430142636e-6 5.859382630910015e-6 1.0040876983387828e-11 7.387780849075235e8 1.0400221015648161e8
5800 76324.50264007901 13.139157225177303 0.00010789662248951473 2.1293149626664382e-7 1.5674541317347712e-7 0.0008224661978601944 4.483817064637741e-6 7.239103343797959e-6 1.1207736206512325e-11 7.387780849075313e8 1.040022101564801e8
6000 78952.39171438703 13.143194579333466 0.00011211846333940238 2.1606082442286287e-7 1.6000024016988823e-7 0.0007481654756702483 5.155615732554963e-6 8.47361474881625e-6 9.518108826731204e-12 7.387780849075351e8 1.0400221015647611e8
6200 81582.17063578939 13.15602958591573 0.00011624881291289214 2.2121775429125e-7 1.596636718264291e-7 0.0007848220493542613 4.356050177456439e-6 7.290324188335973e-6 1.0217633871145425e-11 7.387780849075272e8 1.0400221015647471e8
6400 84216.17020862528 13.187202030828033 0.00011958639688268327 2.2779125913551669e-7 1.5977177673584782e-7 0.0008601379613537574 3.5923756541711427e-6 4.744690059954593e-6 1.2726903697286908e-11 7.387780849075295e8 1.0400221015647191e8
6600 86849.27662639266 13.209740540655567 0.00012336045554963392 2.3308180769570377e-7 1.612733343141261e-7 0.0008108815018204041 4.967326710625386e-6 4.954901922316068e-6 1.1185570895348104e-11 7.38778084907524e8 1.0400221015647356e8
6800 89486.7744358186 13.168742371675116 0.00012591608496417567 2.38137972700345e-7 1.6129324378547498e-7 0.0008755852722970303 4.248250617677751e-6 6.427762113792035e-6 1.273831863032226e-11 7.38778084907532e8 1.0400221015647554e8
7000 92118.09931748314 13.148074669004297 0.00012955026859452643 2.430542349657648e-7 1.6266517329046814e-7 0.0007772675016894937 5.180759580170058e-6 6.6817243878358745e-6 1.3206002555880147e-11 7.387780849075302e8 1.0400221015648077e8
7200 94746.72443344774 13.138523893882699 0.00013197948693939295 2.4691462463001196e-7 1.652830828202502e-7 0.0007561313395854086 5.841701580022729e-6 7.75582377103741e-6 1.4798800672254646e-11 7.387780849075308e8 1.0400221015648244e8
7400 97374.67348646231 13.14072226984788 0.00013575257186838102 2.503916078076087e-7 1.6721957769753342e-7 0.0008443706192338141 5.867285819638468e-6 9.391671535241564e-6 1.4871851457545448e-11 7.38778084907528e8 1.0400221015648651e8
7600 100002.48264454067 13.140854361093847 0.00013869027586396336 2.534040648505002e-7 1.7038650636930185e-7 0.0009026551733768429 5.0764298238914485e-6 1.0218402802075754e-5 1.5976160317584418e-11 7.387780849075267e8 1.0400221015649225e8
7800 102631.80370534699 13.152483815182933 0.00013958620887972713 2.592325065561845e-7 1.7130681312287433e-7 0.0008423741692240583 7.208736082398026e-6 9.042777776913091e-6 1.5838989675742423e-11 7.387780849075335e8 1.0400221015649284e8
8000 105264.70738787406 13.179837403325458 0.00014006308325325355 2.65814079279118e-7 1.7425967894922326e-7 0.000794437753938837 8.256131072637007e-6 5.974554217469397e-6 1.4485977902369051e-11 7.387780849075359e8 1.0400221015649188e8
8200 107905.05096344076 13.219393567005808 0.00014021653362430276 2.723535736213419e-7 1.7743259949855645e-7 0.0009008965989778517 7.32241907358544e-6 7.0905811210275616e-6 1.8194529310017168e-11 7.387780849075273e8 1.0400221015649186e8
8400 110544.1201149647 13.174780733208934 0.00013896226509123682 2.78416779545996e-7 1.8141359496879787e-7 0.0008650079053040827 6.467639300233863e-6 8.42530828304433e-6 1.6028612533148784e-11 7.387780849075283e8 1.0400221015648948e8
8600 113176.2725666361 13.150307332752076 0.00013822781635437913 2.84464256442383e-7 1.8582370655877837e-7 0.0008551659429940628 6.903265643370959e-6 8.585458193460793e-6 1.647583333661332e-11 7.387780849075118e8 1.0400221015648581e8
8800 115805.26964511379 13.139578978517612 0.00013799836333139797 2.895089660981336e-7 1.8878061612761958e-7 0.0008652317737869453 7.265715445237131e-6 9.864505246572064e-6 1.5091781081814053e-11 7.387780849075427e8 1.0400221015648185e8
9000 118433.11753977503 13.142372867346953 0.00013916694748337274 2.941514589268474e-7 1.9022973861311848e-7 0.0007654921282664873 6.635482785871671e-6 1.0870163419565704e-5 1.4110700024710784e-11 7.38778084907527e8 1.0400221015647697e8
9200 121060.98950905696 13.139262637758883 0.00014142931366668924 2.9738882982405917e-7 1.9162541662094598e-7 0.0007583696460642386 5.7608928886454525e-6 1.1652853111332462e-5 1.2467409005752043e-11 7.387780849075204e8 1.040022101564734e8
9400 123689.90437027127 13.149710793963948 0.00014294615297958218 3.0242635587184874e-7 1.9061099549784623e-7 0.0007992207902134396 4.407079313928364e-6 1.0828243817484484e-5 1.35388040909521e-11 7.387780849075292e8 1.0400221015647176e8
9600 126321.87043661659 13.173279200979364 0.0001444199286274713 3.080886764438028e-7 1.9037829887879116e-7 0.000893347791134147 5.185072446955985e-6 6.987623943410792e-6 1.4698483273336006e-11 7.387780849075135e8 1.040022101564698e8
9800 128960.59669648044 13.217034089382203 0.00014703821928830024 3.1336568307380036e-7 1.9192704559290588e-7 0.0008471716610074509 4.979953672545889e-6 5.8490269837507824e-6 1.1567406866663441e-11 7.387780849075332e8 1.0400221015647447e8
10000 131592.88402928374 13.181622370396699 0.00014971799309397772 3.175166110221495e-7 1.932120575824262e-7 0.0009243621479981812 5.5993846319601914e-6 6.988232372329151e-6 1.3554780689679692e-11 7.387780849075217e8 1.0400221015647851e8
10200 134226.02134075877 13.153306442710196 0.00015358916361171842 3.2137216950264894e-7 1.9424696524187437e-7 0.0009450843353988603 4.669188113592959e-6 6.64034424011084e-6 1.0987941790570028e-11 7.387780849075296e8 1.040022101564821e8
10400 136855.4413618886 13.141374847329445 0.0001580866730639894 3.242122209775402e-7 1.9558732253585805e-7 0.0009143943443632452 5.470239990146286e-6 7.143047432364713e-6 8.906607513732645e-12 7.387780849075284e8 1.04002210156485e8
10600 139483.25592474503 13.140261077929322 0.00016252196112680366 3.2624836836739314e-7 1.9592068411969369e-7 0.0009577647124388022 4.823676843956903e-6 7.608218867360961e-6 1.120445028522284e-11 7.387780849075254e8 1.0400221015648998e8
10800 142111.22206275925 13.138366530503934 0.00016670089457625215 3.277610504042109e-7 1.968080400057731e-7 0.0009712284154375084 5.683679932699803e-6 7.633637436527119e-6 1.0268525327941312e-11 7.387780849075221e8 1.0400221015649213e8
11000 144739.76815454263 13.147617880814108 0.00017005662186538904 3.297269908918723e-7 1.9896192006824693e-7 0.000926726546822465 3.8981236449853185e-6 6.48920439849654e-6 1.0629641161689924e-11 7.38778084907529e8 1.0400221015649366e8
11200 147370.9236348717 13.167308831883583 0.0001718808116534246 3.3438900299382444e-7 1.9756635027633487e-7 0.0009518962633592309 6.638223020827283e-6 6.166786542055602e-6 1.0063163742738955e-11 7.387780849075414e8 1.0400221015649262e8
11400 150008.0811842014 13.20737588658547 0.00017439691506464925 3.3890696383922347e-7 2.0043857963345263e-7 0.0009941496900864877 5.8563958738044875e-6 5.48459334925866e-6 1.1176780678990567e-11 7.387780849075295e8 1.0400221015648933e8
11600 152649.73183328824 13.1890280689014 0.0001758601951613182 3.436149013554612e-7 2.0230050436268543e-7 0.0009726292828418082 7.087324082277746e-6 4.754784965754766e-6 9.750881806158599e-12 7.387780849075273e8 1.0400221015648502e8
11800 155283.97674972893 13.156965940542499 0.00017708532128287935 3.4816589262059e-7 2.0546655348844149e-7 0.0010149823829124216 5.151402535208405e-6 4.2222944750813785e-6 9.473724838992556e-12 7.387780849075259e8 1.040022101564821e8
12000 157913.85643123646 13.143848092668321 0.00017909914084701737 3.5149486202087485e-7 2.0963231692889012e-7 0.0009399181926710298 4.330163775989604e-6 8.330232787123748e-6 9.228351400780186e-12 7.387780849075251e8 1.040022101564797e8
12200 160541.78051547144 13.138896989131116 0.00018185172934420245 3.548885082004319e-7 2.1102043233410468e-7 0.0009791496122488752 5.460156471293054e-6 6.899433055485016e-6 1.0695769041366897e-11 7.387780849075347e8 1.0400221015647635e8
12400 163169.7948868815 13.138197274358006 0.00018383946429449284 3.578311541693276e-7 2.1304614147213116e-7 0.0010335458027839195 4.920844322242601e-6 6.301808782471774e-6 1.2551758779947048e-11 7.387780849075427e8 1.0400221015647343e8
12600 165798.0219267211 13.14627959290052 0.00018498035768305 3.616100691147618e-7 2.1632942422731782e-7 0.0010020516583608696 4.5133862827118065e-6 7.0404068253093754e-6 1.16325662718332e-11 7.387780849075302e8 1.040022101564731e8
12800 168428.52233242968 13.162135267898647 0.00018523103324268958 3.66525871360715e-7 2.1962810372656058e-7 0.0009859712172328727 6.3768724256618725e-6 8.828278652867061e-6 1.2246761461166749e-11 7.387780849075271e8 1.0400221015647525e8
13000 171064.272989876 13.198535173013681 0.00018522105406790535 3.7252989340501727e-7 2.239479330490455e-7 0.0009609987992007518 6.696792489879755e-6 4.2518074070962975e-6 1.044416214035149e-11 7.387780849075506e8 1.040022101564775e8
13200 173697.95904876708 13.197244652347571 0.00018614855898395607 3.779436878463714e-7 2.2659904613719484e-7 0.0009158273223874858 7.038332280107085e-6 7.270411241933061e-6 1.3023072630279503e-11 7.38778084907517e8 1.0400221015648098e8
13400 176333.47118794528 13.161407124350578 0.0001867365242683047 3.825450163083822e-7 2.3014961772016686e-7 0.0010989089587383205 5.52016021870827e-6 5.113589862437706e-6 1.1581600629937922e-11 7.387780849075305e8 1.0400221015648367e8
13600 178963.868836241 13.14613868167719 0.0001889834710337389 3.8764801772885985e-7 2.3317592054746937e-7 0.0010382895925431512 4.542856422373731e-6 8.839974249497118e-6 1.2779195098700338e-11 7.387780849075462e8 1.0400221015648553e8
13800 181592.04322051755 13.13823445053607 0.00019212369668988814 3.9152211634649185e-7 2.3409446426874415e-7 0.0010005487984017236 4.2817158916186315e-6 8.687828515097085e-6 1.464221459336812e-11 7.387780849075351e8 1.0400221015648824e8
14000 184220.0616575707 13.138750276080877 0.00019512230925277155 3.945169155582995e-7 2.3483099565956357e-7 0.0011332884769217344 6.144453502443525e-6 7.976802857911913e-6 1.515288758748933e-11 7.387780849075227e8 1.040022101564891e8
14200 186848.0202190029 13.144286229960734 0.00019782134340276623 3.969156284514218e-7 2.3853110931298154e-7 0.0010346338494855445 5.275951435068649e-6 9.251658952047492e-6 1.5118149816432486e-11 7.387780849075285e8 1.0400221015649149e8
14400 189477.9871027289 13.1575857662009 0.00020014152875034682 4.0113372794249564e-7 2.404563900724388e-7 0.000985607890470419 6.094880849238926e-6 7.026626311357198e-6 1.7298894040908213e-11 7.387780849075323e8 1.0400221015649031e8
14600 192112.44564039542 13.190216091158518 0.00020317635377554923 4.0542623855837286e-7 2.4181840715281885e-7 0.0010518650251469808 6.483724511063826e-6 6.087526098652596e-6 1.4414483568324831e-11 7.387780849075314e8 1.0400221015648915e8
14800 194754.20893552568 13.205986236613185 0.0002067994707695138 4.0867070990230026e-7 2.440856221549311e-7 0.0010333059617551044 7.353586778835464e-6 7.1049668532996435e-6 1.827257203457668e-11 7.387780849075274e8 1.0400221015648803e8
15000 197391.10380897197 13.166475292135075 0.00021077066394760186 4.12443699581243e-7 2.4560214100924474e-7 0.0010292948936694302 5.527202467492387e-6 7.274569877036008e-6 1.7137396429828448e-11 7.38778084907523e8 1.0400221015648392e8
15200 200022.1312197805 13.147368048269355 0.00021536331825835326 4.1538667404316757e-7 2.494252410180587e-7 0.001121246488764882 5.142949371927941e-6 7.872138048536925e-6 1.6038491116706423e-11 7.387780849075314e8 1.0400221015647934e8
15400 202650.616896922 13.138295695461165 0.0002203715050733772 4.183783161058545e-7 2.507949355829925e-7 0.0010573324798315298 5.429304896579709e-6 8.192842829268798e-6 1.5603088717495215e-11 7.387780849075336e8 1.0400221015647651e8
15600 205278.5949965264 13.140006506395139 0.00022454675856956822 4.1999465949860754e-7 2.5246379539772117e-7 0.0011127173402201151 6.9495633643335e-6 8.397175118080025e-6 1.4152192577156462e-11 7.387780849075286e8 1.0400221015647468e8
