N   M   resolution_km            l2_height_error          linf_height_error        l2_height_norm           linf_height_norm         l2_order linf_order
3   4   8.33990747766848358e+02  4.00432154822546149e+00  2.49206606393427137e+01  1.01981652548979109e+04  1.36323308799803981e+04  missing  missing
3   8   4.16995373883424179e+02  4.30704949613322341e-01  1.95969891998356616e+00  1.01981476499652217e+04  1.36323492915753923e+04  3.22     3.67     
3   16  2.08497686941712089e+02  4.94234447057373960e-02  2.74981835351354675e-01  1.01981473924730599e+04  1.36323481549515582e+04  3.12     2.83     
3   32  1.04248843470856045e+02  6.22416472431959987e-03  3.39060681671981001e-02  1.01981473885132036e+04  1.36323494481935904e+04  2.99     3.02     
