#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.660352279647373e-13 9507.35078012792 7.387780641008912e8
200 26154.166912786874 130.65162573126608 0.30061727814225037 0.00013453619863356965 0.00016157095412814532 1.7604564004923304 0.0034636731741320703 0.003703337933717299 -7.826289341684637e-15 9507.350780127932 7.387780641008924e8
400 52295.52146443086 130.59100864994778 0.36647467647414195 0.00023333632050713088 0.0001794379528373216 1.8233148161370991 0.003562758123474785 0.004952844288905887 1.2324338102466164e-12 9507.350780127894 7.387780641008896e8
600 78440.00489129168 130.55563658398202 0.34629475515021646 0.0003272282016603604 0.00025599250806180104 1.7338839464327975 0.00552615988013988 0.009095880272763812 -7.908764034649356e-13 9507.350780127907 7.387780641008878e8
800 104583.85459381237 130.78393152803156 0.3425199213655986 0.00035037943245125206 0.00032027263047451724 1.780923282664844 0.008140956141213906 0.00995016108990937 1.3414964450844564e-13 9507.350780127901 7.387780641008862e8
1000 130649.25200335488 131.0717550659853 0.3115858179131981 0.00039429355029817057 0.0003046116342144826 1.624918768669886 0.006619279127630717 0.007644645517254897 -6.934919401007443e-13 9507.35078012789 7.387780641008848e8
1200 156797.33331266922 130.56659199198006 0.3569029010413205 0.0003725844909049102 0.0003151212873135154 1.6812166088770937 0.0058155415639729036 0.007610249230300459 -4.4804357808540577e-13 9507.350780127857 7.38778064100881e8
1400 182939.2868129577 130.7046471888318 0.3980829445873595 0.00037042618253798113 0.0003041128590706384 1.8815888297713173 0.00409879374227462 0.005565184138057455 2.218929158166869e-13 9507.350780127907 7.387780641008779e8
1600 209081.5128483203 130.54810735038333 0.3203247857775339 0.00036312360019055196 0.0003267960451192982 1.4745910563324287 0.00451194979651684 0.003761394343845814 1.0233830541422634e-12 9507.350780127917 7.387780641008798e8
1800 235228.73982890116 130.97800653859323 0.2615250443050993 0.00037864120723179475 0.00032709053645379056 1.2926098611915222 0.003528832488980227 0.005011554288292308 5.656753105488281e-13 9507.350780127916 7.387780641008742e8
2000 261296.2779555 130.86385953617852 0.24724454153367378 0.00038749531067039925 0.00037922194494651845 1.4857025889073157 0.005710561181361595 0.006511136530125472 -8.926258227241956e-13 9507.350780127916 7.387780641008719e8
2200 287441.53042472206 130.54485491457862 0.2816167126696269 0.00040664562492508506 0.0003844110984862969 1.9242275590561349 0.005756651420362746 0.006194096568593932 7.94421972902509e-14 9507.35078012788 7.387780641008713e8
2400 313585.97972641775 130.64499267064866 0.37081253146268894 0.0004363599761538729 0.0004037227573085911 2.1644053525014897 0.007209170953716315 0.007739895101070704 8.723326067208059e-13 9507.350780127856 7.387780641008673e8
