N   M   resolution_km            l2_height_normalized     order
7   4   7.14849212371584258e+02  8.50641221211030293e-03  missing
7   8   3.57424606185792129e+02  4.41299573031058139e-03  0.95
7   16  1.78712303092896065e+02  7.33464084280560093e-05  5.91
7   32  8.93561515464480323e+01  8.79869096279719164e-08  9.70
