#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy pot_enst 
950 19108.452959464645 20.085604132480665 0.0066948292243835935 0.08029692488092403 0.19082175061959972 0.012865657486092889 0.10008128630164759 0.14816456561962513 0.0066948292243835935 0.08082194366667876 0.18796458256074963 0.012865657486092889 0.11773038173462819 0.1560683218227732 -1.1688714564649618e-9 9522.996513302332 4.6255238260310674e8 1.1073034961972778e-12
1000 20112.498984060545 20.07633087567811 0.0069236495944974275 0.08462209425858522 0.20114090470307588 0.01350301992394631 0.10628655336696606 0.15570442547356553 0.0069236495944974275 0.0853387006112612 0.19820971810406 0.01350301992394631 0.12486198130045063 0.16403961815939397 -1.2426446141880477e-9 9522.99651330235 4.625523826030893e8 1.1073034986558648e-12
1050 21116.07806154315 20.067138258402576 0.007144384467238237 0.0891833041246761 0.21136497623252562 0.014019095227479902 0.11234833964319339 0.16306905899225718 0.007144384467238237 0.09006655877276479 0.20839372641998424 0.014019095227479902 0.13212390479205297 0.1718049109606333 -1.3992326596453992e-9 9522.996513302334 4.6255238260310435e8 1.1073035010477025e-12
1100 22119.226761342186 20.059278495162 0.007366865746686162 0.09394547337637721 0.22144055515973166 0.014385037798117489 0.11848382918586424 0.17033994384158807 0.007366865746686162 0.0949610842954574 0.21844864614322823 0.014385037798117489 0.13932296336749272 0.17944569075495015 -1.2604064349527673e-9 9522.996513302407 4.6255238260310215e8 1.107303502425362e-12
1150 23122.035307948405 20.05355842958943 0.007601716225287381 0.09884248031103184 0.23133027515385843 0.01462388979601672 0.12442374016724497 0.17756993042840377 0.007601716225287381 0.09994843893798519 0.22831937686921858 0.01462388979601672 0.1462954345457064 0.18702236868716723 -1.1843279311663479e-9 9522.996513302214 4.625523826030964e8 1.107303501942641e-12
1200 24124.61293461656 20.049907527024487 0.007858188709677636 0.10379496759550486 0.24102419252066343 0.014800555473250133 0.13008484658924832 0.18476974779713912 0.007858188709677636 0.10494359757767399 0.23797905253261692 0.014800555473250133 0.15294357132137892 0.19455770432830868 -1.3049052584583225e-9 9522.996513302294 4.6255238260310346e8 1.1073034991952895e-12
1250 25127.04186025148 20.047375094753455 0.00814158695869449 0.10872916042053014 0.25054751931024094 0.015382523317500448 0.13545080059799386 0.1919243543083011 0.00814158695869449 0.10987041110210424 0.24744005657125157 0.015382523317500448 0.15924606264434246 0.20204928945885287 -1.3720510084021153e-9 9522.996513302387 4.6255238260309243e8 1.1073034940948226e-12
1300 26120.449199050872 20.044631432103284 0.00844913851692517 0.1135463422504178 0.2598777703109597 0.0164883584237695 0.14051523092318552 0.19896491743330122 0.00844913851692517 0.11463261862557346 0.2566742111717759 0.0164883584237695 0.16519193178328156 0.20943527041467894 -1.417292835432911e-9 9522.996513302318 4.625523826030995e8 1.1073034869432906e-12
1350 27122.43336837226 20.033964617336423 0.008782135137661346 0.11829620061978441 0.26926773776652724 0.01752793153290032 0.14543874720738592 0.20605336871008673 0.008782135137661346 0.11928453742591114 0.26593261729444195 0.01752793153290032 0.1709658736324638 0.21688985930464175 -1.583537140282684e-9 9522.996513302418 4.625523826030907e8 1.107303478210846e-12
1400 28123.793526791156 20.020374353697335 0.009131834510298103 0.12291239844746121 0.2787293603866974 0.01843111649169145 0.15026027875686884 0.21322135044140353 0.009131834510298103 0.12376872535871762 0.27523404735022666 0.01843111649169145 0.17661043205758953 0.22444384759674427 -1.7799162243413693e-9 9522.996513302243 4.625523826030984e8 1.1073034687636466e-12
