N   M   end_time resolution_km            l2_depth_error           linf_depth_error         l2_height_error          linf_height_error        l2_order linf_order
4   4   5.00000 6.25493060825136240e+02  4.21113218291772711e-05  1.38953253935359078e-04  3.25682009404728356e-05  1.36385492401935187e-04  missing  missing
4   8   5.00000 3.12746530412568120e+02  1.17335196897022680e-06  3.90166086119452669e-06  9.07451066699998766e-07  3.82956936103550833e-06  5.17     5.15     
4   16  5.00000 1.56373265206284060e+02  3.99912764330107460e-08  1.29060635722487413e-07  3.09285938249814680e-08  1.26671352977836741e-07  4.87     4.92     
4   32  5.00000 7.81866326031420300e+01  1.23298698878987977e-09  5.46179665702911125e-09  9.53571808053123147e-10  5.36071951737471692e-09  5.02     4.56     
4   64  5.00000 3.90933163015710150e+01  3.77897400267244330e-11  2.00378456107897204e-10  2.92259618809096383e-11  1.96668930478693602e-10  5.03     4.77     
