N   M   resolution               l2_height_normalized     order
4   4   1.25098612165027251e+06  1.02178136571130839e-04  missing
4   8   6.25493060825136257e+05  2.69245586655947823e-06  5.25
4   16  3.12746530412568129e+05  9.39029706086069378e-08  4.84
4   32  1.56373265206284064e+05  2.78561976554788456e-09  5.08
